Cycle ID,Cycle Period,Cycle Name,Project Number,Operation Name,Execution Agency,Team Leader,Operation Type,Lending Instrument,Borrower,Operation Number,Sector,Operation Stage,Country Name,PMR Required,Related Operations,Objective,Impact Category,Risk Rating,Safeguard Performance Rationale,Safeguard Performance,Is Reformulated,Reformulation Date
45,March Cycle,Second period Jan-Dec 2023 (45),BR-L1415,Strengthening Unified Health System in São Bernardo do Campo,SECRETARIA DE SAUDE DE SAO BERNARDO DO CAMPO,"ROCHA, MARCIA GOMES",Loan Operation,Investment Loan,PREFEITURA DO MUNICIPIO SAO BERNARDO DO CAMPO,3400/OC-BR,HEALTH-HEALTH SYSTEM STRENGTHENING,Disbursing (From eligibility until all the Operations are closed),Brazil,0,BR-L1415,"The program aims to reorganize the health networks in São Bernardo do Campo, in particular the hospital services, urgency and emergency services and maternity health services.",B,Moderate,"O projeto no estágio atual está satisfatório conforme com as Políticas do BID a ele aplicáveis. As obras em construção contam com todas as licenças e planes de gestão ambiental e social requeridos. As condições de trabalho e de segurança dos trabalhadores estão adequadas. Recommendacao: • Implementar sistemática de acompanhamento das ações de SST e Meio Ambiente no canteiro de obras
• Apresentar relatórios de verificação de atendimento de salvaguardas",Satisfactory,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BR-L1429,CITY OF SÃO PAULO HEALTH CARE NETWORKS RESTRUCTURING AND QUALITY CERTIFICATION PROJECT – AVANÇA SAÚDE SP,SECRETARIA MUNICIPAL DE SAÚDE DE SÃO PAULO,"ROCHA, MARCIA GOMES",Loan Operation,Investment Loan,PREFEITURA DO MUNICIPIO DE SAO PAULO,4641/OC-BR,HEALTH-HEALTH SYSTEM STRENGTHENING,Disbursing (From eligibility until all the Operations are closed),Brazil,0,BR-L1429,"The project's objective is to contribute to improving the health conditions of the Município of São Paulo's population, by enhancing service access and quality and improving system performance, through consolidation of the health care networks approach.",B,Moderate,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BR-L1518,Program to Strengthen the Care Model in the Paraiba Health Network,GOVERNO DO ESTADO DA PARAIBA,"BUSCARONS CUESTA, LUIS",Loan Operation,Investment Loan,GOVERNO DO ESTADO DA PARAIBA,4740/OC-BR,HEALTH-HEALTH SYSTEM STRENGTHENING,Disbursing (From eligibility until all the Operations are closed),Brazil,0,BR-L1518,The general objective of the program is to contribute to improve the health conditions for the Paraiba population through the consolidation of the Health Care Networks and the strengthening of the State health management capacities.,C,Moderate,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BR-L1519,Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH,SECRETARIA MUNICIPAL DE SAÚDE,"ROCHA, MARCIA GOMES",Loan Operation,Investment Loan,PREFEITURA MUNICIPAL DE BELO HORIZONTE,4696/OC-BR,HEALTH-HEALTH SYSTEM STRENGTHENING,Disbursing (From eligibility until all the Operations are closed),Brazil,0,BR-L1519,"The program objective is to contribute to the health of the population by increasing access to health services, as well as their quality and efficiency, in the Município of Belo Horizonte",B,Moderate,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BR-L1583,Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe,"SECRETARIA DE ASSUNTOS INTERNACIONAIS 
 
, SECRETARIA DE ESTADO DA SAUDE DE SERGIPE","GOES SHIBATA, LEONARDO",Loan Operation,Investment Loan,ESTADO DO SERGIPE,5639/OC-BR,HEALTH-HEALTH SYSTEM STRENGTHENING,Approved/Pending prior Legislative Approval,Brazil,0,BR-L1583,"The specific objectives of this operation are: (i) to expand access to and quality of health services in the State of Sergipe (ESE); and (ii) modernize management and care processes, through a digital transformation. The achievement of these objectives will contribute to the overall objective of improving the health of the ESE population.",B,Substantial,El Proyecto fue aprobado el 02 de noviembre de 2022; está en proceso la ratificación legislativa. La operación no ha sufrido modificaciones en su alcance ni componentes.,Satisfactory,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),BR-L1606,Program for Modernization and Quality Improvement of the Health System in Ourinhos - SP,"PREFEITURA MUNICIPAL DE OURINHOS 
 
, SECRETARIA DE ASSUNTOS INTERNACIONAIS","GOES SHIBATA, LEONARDO",Loan Operation,Investment Loan,PREFEITURA MUNICIPAL DE OURINHOS,5797/OC-BR,HEALTH-HEALTH SYSTEM STRENGTHENING,Approved/Pending prior Legislative Approval,Brazil,1,BR-L1606,"The general objective of this operation is to improve the health conditions of the population of Ourinhos, by expanding access and improving the quality of health services. The specific objectives of this operation are: (i) to increase the access and effectiveness of health services; and (ii) expand the management capacity of the Municipal Health Secretariat (SMS).",B,Moderate,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),CO-G1013,Colombia - Regional Malaria Elimination Inniciative (RMEI) in Mesoamerica and Dominican Republic,MINISTERIO DE SALUD PUBLICA,"ORTIZ HOYOS, JOSE LUIS",Investment Grants,,,"GRT/MM-17491-CO, GRT/MM-17492-CO",HEALTH-DISEASE PREVENTION & CONTROL,Disbursing (From eligibility until all the Operations are closed),Colombia,1,CO-G1013,"The objective of the operation is to contribute to the reduction of malaria cases by 2020 in Colombia through improvements in access to prevention, diagnosis and treatment services, and through the timely detection and management of autochthonous and imported cases.",C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),CO-G1028,Immediate Public Health Response to Contain and Control the Coronavirus and Mitigate Its Impact on Service Delivery in Departments Bordering Ecuador,UNIDAD NACIONAL PARA LA GESTION DEL RIESGO DE DESASTRES,"ORTIZ HOYOS, JOSE LUIS",Investment Grants,,,GRT/IE-18234-CO,HEALTH-PRIMARY HEALTH CARE,Disbursing (From eligibility until all the Operations are closed),Colombia,0,CO-G1028,"The overall objective of this project is to help reduce the morbidity and mortality caused by COVID-19 and to mitigate other indirect impacts of the pandemic on health in the municipalities of Nairño and Putumayo, border with Ecuador. The project will benefit the Colombian and Ecuadorian population on both sides of the border by improving basic health service provision and epidemiological surveillance at border crossings.",C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),CO-J0011,PROGRAM TO ENHANCE SUSTAINABILITY AND INCLUSIVENESS IN THE COLOMBIAN HEALTH CARE SYSTEM,MINISTERIO DE SALUD Y PROTECCIÓN SOCIAL,"ORTIZ HOYOS, JOSE LUIS",Grant Financing Product,Investment Loan,REPUBLICA DE COLOMBIA,5172/GR-CO,HEALTH-HEALTH FINANCING,Disbursing (From eligibility until all the Operations are closed),Colombia,0,CO-L1248,"Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.",C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),CO-L1248,PROGRAM TO ENHANCE SUSTAINABILITY AND INCLUSIVENESS IN THE COLOMBIAN HEALTH CARE SYSTEM,MINISTERIO DE SALUD Y PROTECCIÓN SOCIAL,"ORTIZ HOYOS, JOSE LUIS",Loan Operation,Investment Loan,REPUBLICA DE COLOMBIA,5170/OC-CO,HEALTH-HEALTH FINANCING,Closed,Colombia,0,CO-J0011,"Improve sustainability of the SGSSS to preserve coverage, equity, and financial protection, as well as improve the population´s health. Specific objectives: (i) controlling the spending on health services and technologies not financed by the UPC; (ii) improving the system efficiency and (iii) increasing migrant population and its receiving communities effective health coverage.",B13,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),DR-L1069,Program to Support Strengthening of Health Sector Management,MINISTERIO DE SALUD PUBLICA Y ASISTENCIA SOCIAL,"AGUILAR RIVERA, ANA MYLENA",Loan Operation,Investment Loan,REPUBLICA DOMINICANA,3207/OC-DR,HEALTH-HEALTH SYSTEM STRENGTHENING,Closed,Dominican Republic,0,DR-L1069,"The objective of this operation is to improve the efficiency and effectiveness of public health spending aimed at the most vulnerable population of the Dominican Republic, ensuring continued access to quality services, catered to the epidemiological profile of the population, in all levels of care (primary, secondary and tertiary).",C,Low,,,NO,
45,March Cycle,Second period Jan-Dec 2023 (45),DR-L1152,Support for Consolidation of an Inclusive Social Protection System in the Dominican Republic,"DIRECCION GENERAL DEL PROGRAMA SUPERATE 
 
, MINISTERIO DE HACIENDA","AGUILAR RIVERA, ANA MYLENA",Loan Operation,Investment Loan,REPUBLICA DOMINICANA,5445/OC-DR,SOCIAL INVESTMENT-POVERTY ALLEVIATION,Disbursing (From eligibility until all the Operations are closed),Dominican Republic,0,DR-L1152,"The objective of this operation is to strengthen the social protection and health sectors, improving access and quality of services to promote human capital accumulation and improve living conditions of the most vulnerable population.",B,Moderate,"El Programa no tiene elegibilidad y no ha empezado su ejecución. En la etapa de preparación se elaboraron las herramientas a ser implementadas en etapa de ejecución, incluyendo un AAS/PGAS para cada obra a ser ejecutada,",Satisfactory,NO,
