"","project_number","Baseline Year","Operation Name","Country Name","Objective","outcomes","outcomes_indicators","outcomes_units","Baseline","outcomes_means","Indicator Observation","Long.op.name"
"22","AR-L1340",2021,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.","2. Mejorar la efectividad e integración de redes de servicios de salud","Sistema de gestión unificado de medicamentos e insumos implementado","Número de sistemas",0,"Informe de auditoría técnica","Indicador que refleja el fortalecimiento de capacidad institucional","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"24","AR-L1340",2021,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.","2. Mejorar la efectividad e integración de redes de servicios de salud","Centros Comunitarios de Salud Mental integrados en red y funcionando de acuerdo con estándares de calidad","Número de Centros Comunitarios de Salud Mental",0,"Informe de auditoría técnica","La infraestructura cumple los requerimientos mínimos de la certificación de edificios verdes EDGE","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"28","AR-L1340",2021,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.","1. Mejorar la accesibilidad y resolutividad de los servicios públicos de salud del primer nivel de atención","Centros de Atención Primaria de la Salud (CAPS) que cumplen con estándares de calidad","Número de CAPS",66,"Informe de auditoría técnica","La infraestructura cumple los requerimientos mínimos de la certificación de edificios verdes EDGE","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"30","AR-L1340",2021,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.","3. Ampliar la capacidad prestacional para la prevención, detección y atención de COVID-19","Porcentaje de población objetivo actual con esquema de vacunación COVID-19 completa","% de personas",44,"Registro Federal de Vacunación Nominalizado (NOMIVAC)","Linea de base calculada en agosto de 2021","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"32","AR-L1340",2021,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.","2. Mejorar la efectividad e integración de redes de servicios de salud","Nodo de segundo Nivel de atención co gestionado entre la Provincia y el Municipio funcionando","Número de nodos",0,"Informe de auditoría de la dirección de infraestructura","Indicador que refleja el fortalecimiento de capacidad institucional","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"33","AR-L1340",2021,"Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II","Argentina","The objective of the second individual loan operation under the CCLIP is to improve the accessibility and the effective coverage of the public health services for the population of the PBA. The specific development objectives are: (i) improve the accessibility and effectiveness of public health services at the primary care level; (ii) improve the effectiveness and integration of health services networks; and (iii) expand the provisioning capacity for the prevention, detection and care of COVID-19.","2. Mejorar la efectividad e integración de redes de servicios de salud","Unidades Residenciales integradas en red y funcionando de acuerdo con estándares de calidad","Número de Unidades Residenciales Provinciales",0,"Informe de auditoría técnica","La infraestructura cumple los requerimientos mínimos de la certificación de edificios verdes EDGE","AR-L1340 - Program for Strengthening and Integration of Health Networks in the Province of Buenos Aires - PROFIR II"
"43","BH-L1053",2020,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To integrate primary and secondary care services that DPH, PHA, NHIA deliver","Percentage of primary health care personnel (medical doctors and nurses) trained in HEARTS protocol","%",0,"MoH and PHA HR Training records; NHIA Physicians provider profile","HEARTS is an institutionalized training program for cardiovascular disease management in primary health care clinics that includes hypertension, diabetes, and dyslipidemia. The indicator evaluates the proportion of health personnel that received the HEARTS. Numerator: number of health personnel that received the HEARTS. Denominator: the total number of health personnel planned to receive the HEARTS","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"44","BH-L1053",2020,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To integrate primary and secondary care services that DPH, PHA, NHIA deliver","Compliance rate with referrals guidelines for NCDs between primary and secondary/ tertiary care levels","%",25,"Electronic and paper clinical registries at primary care and hospital settings","The indicator evaluates the proportion of NCDs patients referred appropriately to secondary care services. Numerator: number of patients referred appropriately to secondary care services. Denominator: total number of NCDs patients requiring referral. The indicator measures the quality of care and the reduction in the healthcare services fragmentation. For more details see the Monitoring and Evaluation Plan (REL#2).","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"45","BH-L1053",2021,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To improve access, coverage, and quality of community, ambulatory, and hospital services through a person and community centered model of care","Number of beneficiaries of new and retrofitted clinics with enhanced resilience to natural hazards and climate change","# of beneficiaries",44932,"Public Health and Health Care services reports and statistics of the Ministry of Health and Wellness","Indicator measures the number of people living on family islands where 18 new or improved clinics will be constructed that are using health centers for preventive or curative care. It is estimated that, at baseline, 60% of the population utilizes these health centers for preventive or curative care. Adding new clinics and expanding existing services is expected to increase the number of beneficiaries by 20%, reaching 80% of the projected population (62,541 total). These estimates account for the Bahamas' annual natural population growth rate of 0.81.","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"47","BH-L1053",2021,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To increase health services efficiency","Data from primary health care clinics available in a central repository accessible by the Ministry of Health to support the calculation of key indicators.","%",0,"Report from central repository system with names of clinics providing information","Numerator: number of clinics that can report production data automatically to a centralized repository in the MOH. Denominator The 54 clinics that will be part of the project. The report from the MOH should identify each clinic that contributes information and the date for the information contributed.","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"48","BH-L1053",2021,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To improve access, coverage, and quality of community, ambulatory, and hospital services through a person and community centered model of care","% of personnel trained that is certified to provide care according to protocol to gender-based violence victims","%",30,"implementation audits","Training personnel for gender-based violence is part of the actions to strengthen primary health care. Numerator: total number of health personnel certified after being trained to provide care to gender-based violence victims Denominator: total number of health personnel in primary care centers","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"49","BH-L1053",2021,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To increase health services efficiency","Number of partner agencies with information systems that are connected and/or integrated with health information exchange","Number",0,"Annual IS4H report","Ministry of Education, Ministry of Social Services and Urban Development, Department of Meteorology, Department of Environmental Health Services, National Insurance Board, Department of Statistics/or replacement agency.","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"50","BH-L1053",2021,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To improve access, coverage, and quality of community, ambulatory, and hospital services through a person and community centered model of care","% of personnel trained that is certified to provide care according to protocol to gender-based violence victims","%",0,"implementation audits","Training personnel for gender-based violence is part of the actions to strengthen primary health care. Numerator: total number of health personnel certified after being trained to provide care to gender-based violence victims Denominator: total number of health personnel in primary care centers","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"51","BH-L1053",2021,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To increase health services efficiency","Number of beneficiaries of the digital health technology","# of beneficiaries",85000,"Progress reports of the implementation of the ISH4","The National Health Insurance (NHIA) in the Bahamas report approximately 85,000 affiliates that receive care using digital tools, mainly the electronic health record. The Information Systems for Health (IS4H) initiative under the current Programme, is being introduced into 85 clinics under the Department of Public Health and the Public Hospitals Authority, which cater to most of the Bahamas’s population. As of 2026, the total population is expected to reach 410,000 people, and it's expected that up to 80% of the population will benefit from digital healthcare technology after the implementation of IS4H.","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"52","BH-L1053",2021,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To increase health services efficiency","Number of partner agencies with information systems that are connected and/or integrated with health information exchange","%",0,"Annual IS4H report","Ministry of Education, Ministry of Social Services and Urban Development, Department of Meteorology, Department of Environmental Health Services, National Insurance Board, Department of Statistics/or replacement agency.","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"53","BH-L1053",2021,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To improve access, coverage, and quality of community, ambulatory, and hospital services through a person and community centered model of care","Number of beneficiaries of new and retrofitted clinics with enhanced resilience to natural hazards and climate change","Number",74488,"Project implementation audits","All clinics include enhanced resiliency. All beneficiaries for the nine clinics are considered. The estimation of the beneficiaries is done as part of the economic analysis of the operation. The beneficiaries are counted once the clinics are finished and in operation. The estimates consider that the population growth of The Bahamas is 1.2 per year.","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"54","BH-L1053",2021,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To improve access, coverage, and quality of community, ambulatory, and hospital services through a person and community centered model of care","% of victims of domestic violence receiving tele-health and in-person counseling services","%",0,"EHR/paper records data analysis","Health care services for victims of domestic violence require promoting users' help-seeking behavior and respond through risk assessment, screening, and referral to counseling and other services. Numerator: number of victims of domestic violence receiving telehealth/in-person consulting services Denominator: number of suspected victims of domestic violence who were offered telehealth/in person consulting services. Pro-gender: gender tracking.","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"55","BH-L1053",2021,"Programme to Support the Health System Strengthening of The Bahamas","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.","To integrate primary and secondary care services that DPH, PHA, NHIA deliver","Compliance rate with referrals guidelines for NCDs between primary and secondary/ tertiary care levels","%",25,"Electronic and paper clinical registries at primary care and hospital settings","The indicator evaluates the proportion of NCDs patients referred appropriately to secondary care services. Numerator: number of patients referred appropriately to secondary care services. Denominator: total number of NCDs patients requiring referral. The indicator measures the quality of care and the reduction in the healthcare services fragmentation. For more details see the Monitoring and Evaluation Plan (REL#2).","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas"
"60","BO-L1067",2010,"Strengthening of Integrated Health Networks in the Department of Potosi","Bolivia","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Mujeres con complicación obstétrica atendidas en Hospital","Porcentaje",56,"Registros hospitalarios","El proyecto deberá establecer un sistema de monitoreo específico para este indicador.","BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi"
"65","BO-L1067",2013,"Strengthening of Integrated Health Networks in the Department of Potosi","Bolivia","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Personas Atendidas por un paquete básico de servicios de salud, que incluye parto institucional (madre y niño)","# of beneficiaries",1902,"Registro del Bono Juana Azurduy","Se considerará al binomio Madre - Hijo que ha recibido atención al parto y atención post-parto","BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi"
"75","BO-L1082",2012,"Improved Access to Health Services El Alto Bolivia","Bolivia","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.","Utilización de los servicios hospitalarios en el Municipio de El Alto incrementada","Porcentaje de partos institucionales en
relación al número de partos esperados
el Municipio de El Alto","%",54,"Reporte SNIS Departamental","Fuente: SNIS Departamental. Esta información se reocoge sistemáticamente de manera anual y sale reflejada en las memorias anuales del SNIS.","BO-L1082 - Improved Access to Health Services El Alto Bolivia"
"76","BO-L1082",2013,"Improved Access to Health Services El Alto Bolivia","Bolivia","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.","Capacidad de resolución en atención de salud materno-infantil y CaCU (Cáncer Cérvico - Uterino) en el Municipio de El Alto mejorada","Porcentaje de mujeres tamizadas con IVAA
positivo que completan el tratamiento (crioterapia)
según protocolo en una semana","%",0,"Reporte de los EESS intervenidos que atienden con IVAA. El programa municipal de CaCU prevé un registro especifico similar al actual registro de PAP.","Actualmente no se realiza IVAA, por lo cual la línea base es cero (el IVAA sustituirá al PAP). Este indicador se refiere aquellos casos de mujeres que hayan sido tamizadas y hayan obtenido resultado positivo con el IVAA y a quienes, por lo tanto, corresponde aplicar el protocolo de tratamiento del CaCU según su estadiaje (crioterapia, conización, cirugía, radioterapia, quimioterapia). Durante la vida del proyecto únicamente se podrá implementar el tratamiento mediante crioterapia, por tanto el indicador se refiere a la aplicación de dicho tratamiento. A partir del funcionamiento del hospital se implementará el resto de alternativas terapéuticas.","BO-L1082 - Improved Access to Health Services El Alto Bolivia"
"77","BO-L1082",2013,"Improved Access to Health Services El Alto Bolivia","Bolivia","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.","Utilización de los servicios hospitalarios en el Municipio de El Alto incrementada","Porcentaje de emergencias derivadas a La Paz
sobre el total de emergencias generadas
en el Municipio El Alto","%",3,"Registros del hospital de clínicas y hospitales de El Alto (Korea, Los Andes y Boliviano Holandes) a través de un registro sistematizado que sera diseñado en la implementación del proyecto","La línea base se ha calculado revisando los registros del hospital de clínicas (referencia de los hospitales de El Alto). Se prevee crear un registro sistematizado en todos los hospitales de El Alto con el inicio del proyecto, a fin de evitar el subregistro dado que hay pacientes que pueden haber sido derivados a otros hospitales privados. 2015, El SNIS no registra esta información, en tanto el proyecto implementará su propio sistema de monitoreo, a partir del número total de emergencias atendidas por los hospitales en el municipio de El Alto y las derivadas a través del Servicio de Urgencias Médicas de El Alto (SUMA) a la ciudad de La Paz","BO-L1082 - Improved Access to Health Services El Alto Bolivia"
"78","BO-L1082",2013,"Improved Access to Health Services El Alto Bolivia","Bolivia","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.","Capacidad de resolución en atención de salud materno-infantil y CaCU (Cáncer Cérvico - Uterino) en el Municipio de El Alto mejorada","Porcentaje de mujeres entre 30 y 49 años
tamizadas con IVAA que obtengan
resultado positivo (sobre el total de
mujeres tamizadas)","%",0,"Reporte de los EESS intervenidos que atienden con IVAA. El programa municipal de CaCU prevé un registro especifico similar al actual registro de PAP","Actualmente no se realiza IVAA, por lo cual la línea base es cero (el IVAA sustituirá al PAP). El plan municipal de CaCU definirá el sistema de registro a utilizar. 2015, se llego a un concenso sobre el formato para el registro.","BO-L1082 - Improved Access to Health Services El Alto Bolivia"
"79","BO-L1082",2013,"Improved Access to Health Services El Alto Bolivia","Bolivia","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.","Utilización de los servicios hospitalarios en el Municipio de El Alto incrementada","Personas que se benefician de un
paquete básico de servicios de salud.
(total de mujeres tamizadas bajo el
Programa)","# of beneficiaries",0,"Reporte de los EESS intervenidos que atienden con IVAA","Actualmente no se realiza IVAA, por lo cual la línea base es cero (el IVAA sustiuirá al PAP). Las metas de 2017-19 serán corregidas en el 2017, cuando inicie el programa de control de CaCU y se tenga un mejor estimado del número absoluto de personas que podrían beneficiarse con los recursos disponibles y centros de salud seleccionados.Se considerará que toda la población de El Alto es indígena.","BO-L1082 - Improved Access to Health Services El Alto Bolivia"
