"","Project Number","Baseline Year","Cycle ID","Operation Name","Operation Type","Lending Instrument","Operation Number","Country Name","Objective","min.cycle","objectives","objectives_indicators","objectives_units","Means of Verification","Long.op.name","objectives_indicators_units","health_gind","malaria_gind","covid_gind","calidad_gind","acceso_gind","morbilidad_gind","eficiencia_gind","equidad_gind"
"13","AR-L1358",2020,44,"First Individual Operation of the Program for the Integration of the Argentine Health System","Loan Operation","Investment Loan","5744/OC-AR","Argentina","Expand access to and effective coverage of health services for the population with exclusive public coverage.",44,"+Contribuir a la reducción de la mortalidad prematura y al cierre de brechas entre jurisdicciones argentinas en las líneas de cuidado priorizadas.","CV de la distribución provincial de los AVPP por HTA","Sin unidad","Reporte interactivo de estadísticas de salud, DEIS","AR-L1358 - First Individual Operation of the Program for the Integration of the Argentine Health System","+ CV de la distribución provincial de los AVPP por HTA - Sin unidad",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"15","AR-L1358",2020,44,"First Individual Operation of the Program for the Integration of the Argentine Health System","Loan Operation","Investment Loan","5744/OC-AR","Argentina","Expand access to and effective coverage of health services for the population with exclusive public coverage.",44,"+Contribuir a la reducción de la mortalidad prematura y al cierre de brechas entre jurisdicciones argentinas en las líneas de cuidado priorizadas.","Años de vida potencial perdidos (AVPP) por diabetes mellitus","Años cada 100.000 habitantes","Reporte interactivo de estadísticas de salud, DEIS","AR-L1358 - First Individual Operation of the Program for the Integration of the Argentine Health System","+ Años de vida potencial perdidos (AVPP) por diabetes mellitus - Años cada 100.000 habitantes",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"16","AR-L1358",2020,44,"First Individual Operation of the Program for the Integration of the Argentine Health System","Loan Operation","Investment Loan","5744/OC-AR","Argentina","Expand access to and effective coverage of health services for the population with exclusive public coverage.",44,"+Contribuir a la reducción de la mortalidad prematura y al cierre de brechas entre jurisdicciones argentinas en las líneas de cuidado priorizadas.","AVPP por cáncer cérvico uterino (CCU)","Años cada 100.000 habitantes","Reporte interactivo de estadísticas de salud, DEIS","AR-L1358 - First Individual Operation of the Program for the Integration of the Argentine Health System","+ AVPP por cáncer cérvico uterino (CCU) - Años cada 100.000 habitantes",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"17","AR-L1358",2020,44,"First Individual Operation of the Program for the Integration of the Argentine Health System","Loan Operation","Investment Loan","5744/OC-AR","Argentina","Expand access to and effective coverage of health services for the population with exclusive public coverage.",44,"+Contribuir a la reducción de la mortalidad prematura y al cierre de brechas entre jurisdicciones argentinas en las líneas de cuidado priorizadas.","CV de la distribución provincial de los AVPP por TM","Sin unidad","Reporte interactivo de estadísticas de salud, DEIS","AR-L1358 - First Individual Operation of the Program for the Integration of the Argentine Health System","+ CV de la distribución provincial de los AVPP por TM - Sin unidad",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"18","AR-L1358",2020,44,"First Individual Operation of the Program for the Integration of the Argentine Health System","Loan Operation","Investment Loan","5744/OC-AR","Argentina","Expand access to and effective coverage of health services for the population with exclusive public coverage.",44,"+Contribuir a la reducción de la mortalidad prematura y al cierre de brechas entre jurisdicciones argentinas en las líneas de cuidado priorizadas.","AVPP por trastornos mentales y del comportamiento (TM)","Años cada 100.000 habitantes","Reporte interactivo de estadísticas de salud, DEIS","AR-L1358 - First Individual Operation of the Program for the Integration of the Argentine Health System","+ AVPP por trastornos mentales y del comportamiento (TM) - Años cada 100.000 habitantes",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"19","AR-L1358",2020,44,"First Individual Operation of the Program for the Integration of the Argentine Health System","Loan Operation","Investment Loan","5744/OC-AR","Argentina","Expand access to and effective coverage of health services for the population with exclusive public coverage.",44,"+Contribuir a la reducción de la mortalidad prematura y al cierre de brechas entre jurisdicciones argentinas en las líneas de cuidado priorizadas.","AVPP por enfermedades hipertensivas (HTA)","Años cada 100.000 habitantes","Reporte interactivo de estadísticas de salud, DEIS","AR-L1358 - First Individual Operation of the Program for the Integration of the Argentine Health System","+ AVPP por enfermedades hipertensivas (HTA) - Años cada 100.000 habitantes",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"20","AR-L1358",2020,44,"First Individual Operation of the Program for the Integration of the Argentine Health System","Loan Operation","Investment Loan","5744/OC-AR","Argentina","Expand access to and effective coverage of health services for the population with exclusive public coverage.",44,"+Contribuir a la reducción de la mortalidad prematura y al cierre de brechas entre jurisdicciones argentinas en las líneas de cuidado priorizadas.","CV de la distribución provincial de los AVPP por causa CCU","Sin unidad","Reporte interactivo de estadísticas de salud, DEIS","AR-L1358 - First Individual Operation of the Program for the Integration of the Argentine Health System","+ CV de la distribución provincial de los AVPP por causa CCU - Sin unidad",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"21","BH-L1053",2019,37,"Programme to Support the Health System Strengthening of The Bahamas","Loan Operation","Investment Loan","5296/OC-BH","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.",37,"+To support the strengthening of The Bahamas health system to meet the population’s health needs","Mortality rate of cardiovascular
disease","Mortality rate per 100,000","Health statistics. Health Information and Research Unit MOH","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas","+ Mortality rate of cardiovascular
disease - Mortality rate per 100,000",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"22","BH-L1053",2021,37,"Programme to Support the Health System Strengthening of The Bahamas","Loan Operation","Investment Loan","5296/OC-BH","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.",37,"+To support the strengthening of The Bahamas health system to meet the population’s health needs","Rate of ambulatory care sensitive hospitalizations","Rate","Hospital discharges records/ Health statistics. Health Information and Research Unit MOH","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas","+ Rate of ambulatory care sensitive hospitalizations - Rate",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"23","BH-L1053",2021,37,"Programme to Support the Health System Strengthening of The Bahamas","Loan Operation","Investment Loan","5296/OC-BH","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.",37,"+To support the strengthening of The Bahamas health system to meet the population’s health needs","Percentage of diabetes patients with blood glucose controlled.","Percentage","Electronic and paper clinical registries of primary care and hospital settings","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas","+ Percentage of diabetes patients with blood glucose controlled. - Percentage",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"24","BH-L1053",2021,37,"Programme to Support the Health System Strengthening of The Bahamas","Loan Operation","Investment Loan","5296/OC-BH","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.",37,"+To support the strengthening of The Bahamas health system to meet the population’s health needs","Percentage of hypertensive patiens with blood pressure controlled","Percentage","Electronic and paper clinical registries of primary care and hospital settings","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas","+ Percentage of hypertensive patiens with blood pressure controlled - Percentage",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"25","BH-L1053",2021,37,"Programme to Support the Health System Strengthening of The Bahamas","Loan Operation","Investment Loan","5296/OC-BH","Bahamas","The overall objective is to reduce the morbidity and mortality caused by COVID-19, mitigate the indirect impacts of the pandemic on the health status of the population, and strengthen the preparedness of the health system of The Bahamas for future health risks.",37,"+To support the strengthening of The Bahamas health system to meet the population’s health needs","Mortality rate of cardiovascular
disease","Mortality rate per 100,000","Health statistics. Health Information and Research Unit MOH","BH-L1053 - Programme to Support the Health System Strengthening of The Bahamas","+ Mortality rate of cardiovascular
disease - Mortality rate per 100,000",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"26","BL-L1036",2020,37,"Program to Support the Health Sector to Contain and Control Coronavirus and to Mitigate its Effect on Service Provision","Loan Operation","Investment Loan","5233/OC-BL","Belize","The general objective of this project is to help reduce the morbidity and mortality caused by COVID-19 and to mitigate other indirect impacts of the pandemic on health. The project specific development objective is to support the efforts to interrupt the transmission chain of the illness.",37,"+Contribute to the reduction of the morbidity and mortality caused by COVID-19 and to mitigate other indirect impacts of the pandemic","Number of Deaths from Covid-19","Number","Epi data /BHIS/ Statistical Institute of Belize","BL-L1036 - Program to Support the Health Sector to Contain and Control Coronavirus and to Mitigate its Effect on Service Provision","+ Number of Deaths from Covid-19 - Number",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"29","BL-L1036",2020,37,"Program to Support the Health Sector to Contain and Control Coronavirus and to Mitigate its Effect on Service Provision","Loan Operation","Investment Loan","5233/OC-BL","Belize","The general objective of this project is to help reduce the morbidity and mortality caused by COVID-19 and to mitigate other indirect impacts of the pandemic on health. The project specific development objective is to support the efforts to interrupt the transmission chain of the illness.",37,"+Contribute to the reduction of the morbidity and mortality caused by COVID-19 and to mitigate other indirect impacts of the pandemic","Confirmed cases of COVID-19","Number","Epi data /BHIS/ Statistical Institute of Belize","BL-L1036 - Program to Support the Health Sector to Contain and Control Coronavirus and to Mitigate its Effect on Service Provision","+ Confirmed cases of COVID-19 - Number",TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"31","BO-L1067",2003,22,"Strengthening of Integrated Health Networks in the Department of Potosi","Loan Operation","Investment Loan","2614/BL-BO, 2614/BL-BO-1, 2614/BL-BO-2","Bolivia","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.",22,"+Mortalidad materno infantil en el Departamento de Potosi reducida","Tasa de mortalidad infantil por 1000 NV","por 1000 NV","Encuesta Nacional de Demografia y Salud","BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+ Tasa de mortalidad infantil por 1000 NV - por 1000 NV",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"32","BO-L1067",2003,22,"Strengthening of Integrated Health Networks in the Department of Potosi","Loan Operation","Investment Loan","2614/BL-BO, 2614/BL-BO-1, 2614/BL-BO-2","Bolivia","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.",22,"+Mortalidad materno infantil en el Departamento de Potosi reducida","Tasa de Mortalidad neonatal","por 1000 NV","Encuesta Nacional de Demografia y Salud","BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+ Tasa de Mortalidad neonatal - por 1000 NV",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"33","BO-L1067",2008,22,"Strengthening of Integrated Health Networks in the Department of Potosi","Loan Operation","Investment Loan","2614/BL-BO, 2614/BL-BO-1, 2614/BL-BO-2","Bolivia","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.",22,"+Mortalidad materno infantil en el Departamento de Potosi reducida","Razon de Mortalidad materna en el Departamento de Potosi","Razon","Encuesta Nacional de Demografia y Salud","BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+ Razon de Mortalidad materna en el Departamento de Potosi - Razon",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"35","BO-L1078",2011,22,"Improved access to health services in Bolivia","Loan Operation","Investment Loan","2822/BL-BO","Bolivia","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.",22,"+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","Mortalidad Neonatal temprana por cada 1,000 Nacidos Vivos en el Departamento de Potosí","Tasa por 1,000 NV","Reporte SNIS Departamental","BO-L1078 - Improved access to health services in Bolivia","+ Mortalidad Neonatal temprana por cada 1,000 Nacidos Vivos en el Departamento de Potosí - Tasa por 1,000 NV",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"36","BO-L1078",2011,22,"Improved access to health services in Bolivia","Loan Operation","Investment Loan","2822/BL-BO","Bolivia","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.",22,"+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","Mortalidad Neonatal temprana por cada 1,000 Nacidos Vivos en el Departamento de La Paz","Tasa por 1,000 NV","Reporte SNIS Departamental","BO-L1078 - Improved access to health services in Bolivia","+ Mortalidad Neonatal temprana por cada 1,000 Nacidos Vivos en el Departamento de La Paz - Tasa por 1,000 NV",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"37","BO-L1078",2011,22,"Improved access to health services in Bolivia","Loan Operation","Investment Loan","2822/BL-BO","Bolivia","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.",22,"+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","Mortalidad Infantil por cada 1,000 Nacidos Vivos en el Departamento de La Paz","Tasa por 1,000 NV","Reporte SNIS Departamental","BO-L1078 - Improved access to health services in Bolivia","+ Mortalidad Infantil por cada 1,000 Nacidos Vivos en el Departamento de La Paz - Tasa por 1,000 NV",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"39","BO-L1078",2011,22,"Improved access to health services in Bolivia","Loan Operation","Investment Loan","2822/BL-BO","Bolivia","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.",22,"+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","Mortalidad Infanti por cada 1,000 Nacidos Vivos en el Departamento de Potosí","Tasa por 1,000 NV","Reporte SNIS Departamental","BO-L1078 - Improved access to health services in Bolivia","+ Mortalidad Infanti por cada 1,000 Nacidos Vivos en el Departamento de Potosí - Tasa por 1,000 NV",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"42","BO-L1082",2013,22,"Improved Access to Health Services El Alto Bolivia","Loan Operation","Investment Loan","3151/BL-BO","Bolivia","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.",22,"+Reducción de la mortalidad: i) neonatal; ii) materna; y ii) por cáncer cervico-uterino en El Alto","1.2 Mortalidad materna hospitalaria por 100.000 NV en el municipio El Alto","0/000","SNIS Departamental (La Paz)","BO-L1082 - Improved Access to Health Services El Alto Bolivia","+ 1.2 Mortalidad materna hospitalaria por 100.000 NV en el municipio El Alto - 0/000",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"45","BO-L1082",2013,22,"Improved Access to Health Services El Alto Bolivia","Loan Operation","Investment Loan","3151/BL-BO","Bolivia","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.",22,"+Reducción de la mortalidad: i) neonatal; ii) materna; y ii) por cáncer cervico-uterino en El Alto","1.1 Mortalidad neonatal precoz hospitalaria por 1.000 NV* (<7 días) en el municipio El Alto","0/00","SNIS Departamental (La Paz)","BO-L1082 - Improved Access to Health Services El Alto Bolivia","+ 1.1 Mortalidad neonatal precoz hospitalaria por 1.000 NV* (<7 días) en el municipio El Alto - 0/00",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"47","BO-L1082",2013,22,"Improved Access to Health Services El Alto Bolivia","Loan Operation","Investment Loan","3151/BL-BO","Bolivia","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.",22,"+Reducción de la mortalidad: i) neonatal; ii) materna; y ii) por cáncer cervico-uterino en El Alto","1.3Mortalidad por CaCU (Cáncer Cérvico - Uterino) por 100.000 mujeres entre 30 y 49 años de edad en el departamento de La Paz","0/000","A implementar un sistema de monitoreo por el Programa","BO-L1082 - Improved Access to Health Services El Alto Bolivia","+ 1.3Mortalidad por CaCU (Cáncer Cérvico - Uterino) por 100.000 mujeres entre 30 y 49 años de edad en el departamento de La Paz - 0/000",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
