Project Number,Baseline Year,Operation Name,Long.op.name,objectives,objectives_indicators,objectives_units,outcomes,outcomes_indicators,outcomes_units,outcomes_means,health,malaria,covid,acceso,morbilidad,eficiencia,equidad,calidad_name,calidad_g_objective,calidad_outcome,calidad_outcome_ind,not.a.loan
BR-L1415,2015,Strengthening Unified Health System in São Bernardo do Campo,BR-L1415 - Strengthening Unified Health System in São Bernardo do Campo,+Condições de Saúde da população de SBC melhoradas,"Taxa de mortalidade precoce (30-59 anos) diabetes mellitus e suas complicações na população residente em SBC.
Taxa de mortalidade precoce (30-59 anos) por doença cerebrovascular na população residente em SBC.
Taxa de mortalidade neonatal institucional (HMU)
Proporção de internações por causas selecionadas sensíveis à Atenção Básica","obitos
obitos
obitos
numero de hospitalizações","+Indicadores de resultado final
+Indicadores de Resultados Intermediários","+Taxa anual de internação hospitalar por diabetes mellitus e suas complicações na população de 30 a 59 anos de idade, residente em SBC.
+Taxa anual de internação hospitalar por acidente vascular cerebral na População de 30 a 59 anos de idade, residente em SBC.
+Proporção de partos SUS de residentes realizados na rede SUS Municipal
+Pessoas que recebem serviços de saúde na rede SUS municipal
+Proporção de parto normal em primíparas na rede SUS municipal
+Proporção de parto normal na rede SUS municipal
+Consultas médicas em CARDIOLOGIA realizadas na rede SUS municipal
+Consultas médicas em ENDOCRINOLOGIA realizadas na rede SUS municipal
+Consultas médicas em NEUROLOGIA realizadas na rede SUS municipal","+número de internações
+número de internações
+partos
+# of beneficiaries
+partos
+partos
+consultas médicas
+consultas médicas
+consulta médica","+DATASUS, SIH-SUS, IBGE
+DATASUS, SIH-SUS, IBGE
+DATASUS, SINASC (Sistema de Informação de Nascidos Vivos)
+TABNET ANS/IBGE
+SINASC (Sistema de Informação de Nascidos Vivos)
+SINASC (Sistema de Informação de Nascidos Vivos)
+Total de consultas médicas em CARDIOLOGIA realizadas na rede SUS municipal
+Total de consultas médicas em ENDOCRINOLOGIA realizadas na rede SUS municipal
+Total de consultas médicas em NEUROLOGIA realizadas na rede SUS municipal",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BR-L1429,2016,CITY OF SÃO PAULO HEALTH CARE NETWORKS RESTRUCTURING AND QUALITY CERTIFICATION PROJECT – AVANÇA SAÚDE SP,BR-L1429 - CITY OF SÃO PAULO HEALTH CARE NETWORKS RESTRUCTURING AND QUALITY CERTIFICATION PROJECT – AVANÇA SAÚDE SP,+Tasas mejoradas,"Tasa de mortalidad prematura por Diabetes Mellitus (DM) - HOMBRES
Tasa de mortalidad prematura por doencas coronariana - MUJERES
Tasa de mortalidad prematura por Diabetes Mellitus (DM) - MUJERES
Tasa de mortalidad prematura por doencas coronariana - HOMBRES
Tasa de internaciones por condiciones sensibles a la atención básica - HOMBRES
Tasa de mortalidad prematura por accidentes cerebro vasculares (ACV) - MUJERES
Tasa de internaciones por condiciones sensibles a la atención básica - MUJERES
Tasa de mortalidad prematura por accidentes cerebro vasculares (ACV) - HOMBRES","/100000 habitantes
/100000 Hab
/100000 habitantes
/100000 Hab
/10000 habitantes
/100000 habitantes
/10000 habitantes
/100000 habitantes",+Tiempos de permanencia en los hospitales mejorado,"+Tiempo promedio de permanencia de usuarios por séquelas de enfermedades cerebrovasculares e de consecuencias externas en hospitales generales SUS
+Tiempo promedio de permanencia en hospitales generales da rede SUS de la ciudad de São Paulo
+Proporción de internación en carácter de urgencia en los hospitales estratégicos
+Tasa de hospitalización por Diabetes Mellitus y sus complicaciones
+Tasa de mortalidad por enfermedades coronarianas
+Porcentaje de todas las embarazadas diagnosticadas con sífilis con el diagnóstico y tratamiento
+Tasa de atenciones de UE clasificadas por riesgo en los servicios de la RUE
+Ratio de consultas médicas básicas programadas/ populación
+Porcentaje de pacientes residentes la región norte atendidos en hospitales de la misma región (media complejidad)
+Cobertura estimada de Atención Primaria
+Numero de personas que reciben servicios de salud
+Porcentaje de nuevas obras y renovaciones, financiado con recursos del BID, certificado (sello de sostenibilidad) por el departamento de Edificios (EDIF) de SIURB
+Coeficiente de incidencia de Sifilis Congenita","+día
+dia
+%
+/10000 habitantes
+/10000 habitantes
+%
+%
+/100 habitantes
+%
+%
+Personas
+%
+/1000NV","+SIH-SUS
+SIH-SUS
+SIH-SUS
+SIH-SUS / SEADE
+SIM-SUS / SEADE
+Sistema de Monitoreo de la SMSSP
+DATASUS
+SIA-SUS / SEADE
+SIH-SUS / SEADE
+CNES / SEADE
+dados oficiais DATASUS
+FONTE DE DADO EDIF-SIURB
+dados oficiais DATASUS",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BR-L1518,2019,Program to Strengthen the Care Model in the Paraiba Health Network,BR-L1518 - Program to Strengthen the Care Model in the Paraiba Health Network,+Contribuir para a melhoria das condições de saúde da população da Paraíba,"Taxa de mortalidade prematura por acidentes cerebrais-vasculares - Homens
Taxa de mortalidade prematura por acidentes cerebrais-vasculares - Mulheres
Taxa de mortalidade prematura por Diabetes Melitus (DM) - Mulheres
Taxa de mortalidade prematura por enfermidades coronárias - Mulheres
Taxa de mortalidade prematura por enfermidades coronárias - Homens
Taxa de mortalidade prematura por Diabetes Melitus (DM) - Homens
Taxa de mortalidade materna por causas diretas","/100.000 habitantes
/100.000 habitantes
/100.000 habitantes - óbitos
/100.000 habitantes - óbitos
/100.000 habitantes - óbitos
/100.000 habitantes - óbitos
/100.000 nacidos vivos",+Contribuir para a melhoria das condições de saúde da população da Paraíba através da consolidação das Redes de Atenção à Saúde (RAS) e do fortalecimento das capacidades de gestão estadual da saúde.,"+Taxa de internação por AVC
+Percentual de partos normais realizados na rede estadual do SUS
+Número de pessoas que recebem serviços de saúde
+Cobertura de exames citopatológicos para detectar câncer de colo do útero (população recomendada pelo Ministério da Saúde)
+Gerências da SES com sistemas de informação em saúde implantados
+Gestantes Diagnosticadas com sífilis, com tratamento correto prescrito
+32 unidades hospitalares e quatro unidades de pronto atendimento da rede estadual com sistema de gestão hospitalar funcionando","+/10.000 habitantes
+%
+# of beneficiaries
+%
+%
+%
+número de unidades","+Fonte do indicador: Sistema de Informações Hospitalares (SIH) e IBGE. Cálculo: N° internações por AVC em determinado local e período / população em um mesmo local e período *10.000
+Fonte do indicador: Sistema de Informações Hospitalares (SIH) e IBGE. Cálculo: N° de partos normais (CID10 080) em determinado local e período / total de partos realizados em determinado local e período*100
+Fonte do indicador: DATASUS + IBGE. Número de pessoas SUS dependentes nas macroregiões de João Pessoa, Campina Grande e Patos.O aumento de cobertura será alcançada pela ampliação das linhas de cuidado e serviços de alta complexidade à toda população SUS dependente do Estado da Paraíba.
+Fonte do indicador: SIA SUS/DATASUS. Fórmula: soma da frequência do número de exames citopatológicos do colo do útero (procedimentos 02.03.01.001-9, exames citopatológicos cervico vaginal / microflora e 02.03.01.008-6 exames citopatológicos cervico vaginal / microflora rastreamento) realizados em mulheres de faixa etária de 25 a 64 anos por município de residência e ano de atendimento População feminina na faixa etária de 25 a 64 anos no mesmo local e ano / 3
+Fonte de indicador: SES. Cálculo: (número de gerências atendidas com implantação e suporte de sistemas de informação / total de gerências da SES)*100
+Fonte do indicador: SINAN. Número de gestantes diagnosticadas com sífilis que receberam a prescrição correta em um determinado ano / Número de gestantes diagnosticadas com sifílis em um determinado ano * 100
+Fonte de indicador: SES. Cálculo: número de unidades hospitalares e unidades de pronto atendimento da rede estadual com software de gestão hospitalar implantados",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BR-L1519,2018,Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH,BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH,+Contribuir para melhorar a saúde da população do Município de Belo Horizonte,"Percentual de internações por condições sensíveis à atenção primária
Taxa de Mortalidade Prematura por doenças crônicas não transmissíveis","/100 internações
Óbitos por 100.000 habitantes","+Melhoria da qualidade e eficiencia dos serviços de saúde
+Ampliação do acesso aos serviços de saúde","+Tempo médio para distribuição de vacinas para as unidades de saúde.
+Razão de exames citopatológicos do Colo do Útero em mulheres de 25 a 64 anos.
+Taxa de solicitações por internação realizada com diagnóstico de trombose venosa profunda.
+Tempo médio de espera para realização de endoscopia.
+Proporção de recém-nascidos (RN) com 37 semanas ou mais de gestação com apgar de 5º minuto ? 7 na maternidade do Hospital Municipal Odilon Behrens .
+Taxa de partos normais da maternidade do Hospital Municipal Odilon Behrens.
+Proporção de consultas registradas na solução tecnológica (SIGRAH) em relação ao total de consultas.
+Taxa de infecção da corrente sanguínea associada a cateter venoso central nas UTIs dos hospitais participantes do Programa de Desenvolvimento Hospitalar (mediana).
+Percentual de hospitais que cumprem com desempenho minimo de 70% no Programa de Desenvolvimento Hospitalar.
+Número de pessoas que recebem serviços de saúde.","+dias
+Exames / 3 mulheres
+Solicitações / internação
+Meses
+/ 100 recém-nascidos
+/ 100 partos
+/100 consultas
+Infecções / 1000 cateter venoso central – dia
+%
+# of beneficiaries","+SIES (Relatório Semestral de Progresso)
+SIA-SUS/ IBGE (Relatório Semestral de Progresso)
+CINT/SIH (Relatório Semestral de Progresso)
+SISREG (Relatório Semestral de Progresso)
+Comissão Perinatal, SINASC (Relatório Semestral de Progresso)
+Comissão Perinatal, SINASC (Relatório Semestral de Progresso)
+SIGRAH (numerador) e SISREDE, SIA, e-SUS e registros manuais (denominador)
+SISVISE (Relatório Semestral de Progresso)
+Relatório final da auditoria
+MS/SAPS/SISAB",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BR-L1543,2020,,BR-L1543 - NA,"+Objetivo general de desarrollo: El objetivo general del proyecto será contribuir a mejorar el desarrollo infantil de la población beneficiaria del PCF de una manera más eficiente, refinando y calificando sus acciones.",Puntaje prueba Ages and Stages Questionnaire – 3 (ASQ-3),Puntos ASQ-3 (0 - 300),"+Objetivo específico de desarrollo 2: Gestión del PCF fortalecida
+Objetivo específico de desarrollo 1: Calidad de las ofertas de servicios de desarrollo infantil mejoradas","+R5. Municipios que implementan el sistema de información del PCF
+R6. Sesiones visitadoras/familias realizadas versus programadas (promedio)
+R7. Porcentaje de municipios que adopten estrategias recomendadas por PCF para la selección de beneficiarios
+R1. Presencia de libro o revista infantil en el domicilio
+R2. Puntaje de estimulación e interacción de la madre/cuidador
+R3. Puntaje en actividades promotoras del desarrollo del niño (últimos 3 días)
+R4. Número de beneficiarios de servicios de desarrollo infantil del PCF mejorado","+Municípios
+Percentual
+Percentual
+Percentual
+Puntos
+Puntos
+# of beneficiaries","+Informe semestral del proyecto
+Informe semestral del proyecto
+Informe semestral del proyecto
+Informe evaluación de impacto
+Informe evaluación de impacto
+Informe evaluación de impacto
+Informe semestral del proyecto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BR-L1583,2020,Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe,BR-L1583 - Health Care and Social Inclusion Networks Strengthening Program - PROREDES Sergipe,+Mejorar la salud de la población del Estado de Sergipe.,"Tasa de mortalidad prematura por Accidente Cerebrovascular (ACV) en mujeres
Tasa de mortalidad prematura Diabetes Mellitus (DM) en hombres
Tasa de mortalidad neonatal tardía
Tasa de mortalidad prematura Diabetes Mellitus (DM) en mujeres
Tasa de mortalidad prematura por ACV en hombres","/100.000 habitantes
/100.000 habitantes
/100.000 habitantes
/100.000 habitantes
/100.000 habitantes","+Objetivo específico de desarrollo 1: Ampliar el acceso y la calidad de los servicios de salud del Estado de Sergipe.
+Objetivo específico de desarrollo 2: Modernizar los procesos de gestión y asistenciales, a través de una transformación digital.","+Personas que reciben servicios de salud
+Tiempo promedio en días de espera para acceder a exámenes de resonancia magnética
+Mujeres (25-64 años) con examen cito-patológico realizado anualmente
+Mujeres (50-69 años) con mamografía de rastreo realizado
+Proporción de parto normal em la rede SUS del estado
+Tiempo promedio de espera para acceder a tratamiento de oncología desde la confirmación diagnóstica
+Reingresos hospitalarios infantiles
+Nuevos establecimientos con certificado de cumplimiento de la norma de accesibilidad
+Farmacias del ESE con la lista completa de medicamentos
+Capacidad estimada de formación continuada de la Escuela de Salud Pública
+Unidades de salud con prontuario electrónico implementado
+Tiempo promedio de hospitalización de los hospitales de ESE
+Atenciones por el servicio de orientación telefónica “Alô Sergipe”","+#
+# días
+%
+%
+%
+# días
+%
+%
+%
+Días-profesional/año
+%
+# días
+Atención / año","+ANS: https://www.ans.gov.br/anstabn et/cgibin/tabnet?dados/tabnet_br.def
+Central de Regulación (Sistema Acone)
+Sistema de Informaçión Ambulatoria de SUS (SIA) - DATASUS y IBGE
+Sistema de Informaçión Ambulatoria SUS (SIA) - DATASUS y IBGE
+DATASUS - SINASC – Sistema de Información sobre Nacidos Vivos
+Central de Regulación (SES/SE)
+Directoria de Atención Especializada y de Urgencia (SES/SE)
+Coordinación de Vigilancia Sanitaria (COVISA)
+Sistema de gestión logística de medicamentos
+Fundación Estatal de Salud (FUNESA)
+Coordinación de Sistemas de Información del SUS (SES/SE)
+Sistema de Información Hospitalaria (SIH/SUS)
+Sistema de gestión del “Alô Sergipe”",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CO-G1013,2020,,CO-G1013 - NA,"+IMPACTO 1. Eliminación de la transmisión autóctona de la malaria en la frontera con Panamá (Acandí, Juradó, Riosucio y Unguía), Y la reducción de casos autóctonos de malaria complicada y muertes en los municipios priorizados (Atrato, Bagadó, Buenaventura, Lloró, Medio Atrato, Quibdó, Rio Quito y Tumaco)","P1.01 Casos de malaria de transmisión local en el último año - PANAMÁ
P1.01 Casos de malaria de transmisión local en el último año - CHOCÓ
P1.01 Casos de malaria de transmisión local en el último año - PACÍFICO SUR
P1.02 Casos de malaria complicada - PANAMÁ - CHOCÓ - PACÍFICO SUR
P1.03 Muertes por malaria -PANAMÁ - CHOCÓ - PACÍFICO SUR
no","Número
Número
Número
Número
Número
NA","+RESULTADO 1. Diagnóstico de calidad de febriles asegurado
+RESULTADO 2. Vigilancia mejorada y focos eliminados
+RESULTADO 3. Control vectorial integral fortalecido","+P3.01 Unidades de diagnóstico que reciben reporte de evaluación indirecta del desempeño por el laboratorio de referencia en el periodo
+P4.01 Pacientes con malaria confirmada que recibieron tratamiento antimalárico de primera línea de acuerdo a la política nacional dentro de 24 horas después del diagnóstico
+P4.02 Casos confirmados a los que se les realizó prueba diagnóstica (incluyendo trabajadores comunitarios) dentro de las 48 horas después de presentar síntomas
+P5.01 Casos confirmados de malaria en el último año investigados que cumplen con los estándares de calidad
+P7.01 Puntos de atención y establecimientos de diagnóstico con disponibilidad permanente de equipo e insumos para el diagnóstico y tratamiento de la malaria de acuerdo a estándares
+P7.06 Existe un registro de focos y ha sido actualizado en los últimos 12 meses
+P2.02 Personas que tuvieron fiebre sin síntomas respiratorios en áreas endémicas en las últimas dos semanas que recibieron una prueba de diagnóstico
+P2.03 Reportes esperados de establecimientos de salud y otros proveedores recibidos con estándares de calidad
+P6.01 Grupo objetivo de población en riesgo que duerme bajo toldillos tratados con insecticida o que vive en casas rociadas con insecticidas de larga duración en los últimos 12 meses","+%
+%
+%
+%
+%
+Sí/No
+%
+%
+%","+Encuesta de establecimientos de salud
+Encuesta de establecimientos de salud
+Encuesta de establecimientos de salud
+Sistema de vigilancia verificado con revisiones de calidad de datos en el punto de atención
+Encuesta de establecimientos de salud
+Revisión de expertos
+Encuesta poblacional
+Encuesta de establecimientos de salud
+Encuesta poblacional",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
CO-G1028,2020,,CO-G1028 - NA,+Contribuir a reducir la morbilidad y la mortalidad por COVID-19 y a mitigar los efectos indirectos de la epidemia,"Casos de COVID-19 confirmados en Putumayo
Número de muertes provocadas por COVID-19 en Putumayo
Número de muertes provocadas por COVID-19 en Nariño
Casos de COVID-19 confirmados en Nariño","Número de casos
Número de muertes
Número de muertes
Número de casos","+2. Mejorar la capacidad de atención básica de casos de COVID-19 y garantizar la continuidad de la atención esencial de salud en frontera
+1. Mejorar la detección y seguimiento de los casos de COVID-19 e interrumpir la cadena de transmisión en los puntos de frontera con Ecuador","+Porcentaje de establecimientos de salud de atención básica con capacidad de atención ampliada para pacientes COVID-19 y para asegurar la continuidad del servicio en Nariño y Putumayo
+Personas que se benefician de servicios de salud
+Porcentaje de laboratorios con capacidad de diagnóstico de COVID-19 en Nariño y Putumayo
+Porcentaje de puntos de entrada, en Nariño y Putumayo, que cuentan con vigilancia epidemiológica según los estándares del país","+%
+# of beneficiaries
+%
+%","+Documento de entrega y recepción de equipamiento
+DANE
+Aval del Instituto Nacional de Salud
+Validación del protocolo en frontera por Migración Colombia. Documento de entrega y recepción de insumos",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CO-J0011,2019,,CO-J0011 - NA,"+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Cobertura de afiliación al SGSSS
Tasa de mortalidad prematura por enfermedades crónicas en población entre 30 y hasta 70 años (por cada 100.000 personas entre 30 y 70 años)
Patrimonio adecuado de EPS deficitarias","Porcentaje
Muertes por cada 100.000 habitantes
Billones de pesos","+Mejorar la cobertura de afiliación de la población inmigrante
+Mejorar la eficiencia y cobertura del SGSSS
+Mejorar la gestión en servicios y tecnologías no financiadas con la UPC","+Inmigrantes afiliados
+Atenciones en salud obstétricas para inmigrantes no afiliados
+Número de departamentos/distritos a los cuales se les hace seguimiento de actividades programáticas de promoción y mantenimiento de la salud en el marco de los acuerdos MAITE a través del sistema de información del MSPS
+Número de entidades usuarias de la herramienta de seguimiento nominal
+Proporción de personas de treinta años o más en cada territorio priorizado para el Componente 2 con tamizaje para riesgo cardiovascular y metabólico
+Proporción de gestantes con captación temprana al control prenatal (semana 12) en cada territorio priorizado para el Componente 2
+Proporción de mujeres entre 25 y 65 años tamizadas para cáncer de cuello uterino con cualquier prueba de tamización en los territorios priorizados para el Componente 2
+Ahorro por valores máximos de recobro o techos presupuestales en servicios y tecnologías no financiadas con la UPC en régimen contributivo
+Porcentaje de recobros por concepto de tecnologías no financiadas con la UPC del régimen contributivo prestados a 25 de mayo de 2019 saneados
+Porcentaje de cuentas por pagar de las entidades territoriales por concepto de tecnologías no financiados con cargo a la UPC del régimen subsidiado prestados a 31 de diciembre de 2019 pagadas","+# of beneficiaries
+# of beneficiaries
+# de departamentos/distritos
+# de entidades (EPS e IPS)
+% en cada territorio
+% en cada territorio
+% en cada territorio
+Miles de millones de COP
+%
+%","+BDUA del MSPS.
+Informe del MSPS con base en proceso de auditoría de pagos.
+Informe de verificación de indicador de desembolso del DNP que incluya: Reporte de actividades programáticas trimestral del MSPS y acta de seguimiento trimestral por cada entidad territorial.
+Informe de implementación de la herramienta nominal del MSPS.
+Informe de implementación de la herramienta nominal del MSPS.
+Informe de implementación de la herramienta nominal del MSPS.
+Informe de implementación de la herramienta nominal del MSPS.
+Base de datos de recobros de la Administradora de los Recursos del Sistema General de Seguridad Social en Salud (ADRES), posterior a la estandarización realizada por la Dirección de Beneficios, Costos y Tarifas del Aseguramiento en Salud del MSPS.
+Informe de ejecución del acuerdo de punto final por parte de la Dirección de Financiamiento Sectorial del MSPS.
+Informe de ejecución del acuerdo de punto final por parte de la Dirección de Financiamiento Sectorial del MSPS.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
CO-L1248,2019,PROGRAM TO ENHANCE SUSTAINABILITY AND INCLUSIVENESS IN THE COLOMBIAN HEALTH CARE SYSTEM,CO-L1248 - PROGRAM TO ENHANCE SUSTAINABILITY AND INCLUSIVENESS IN THE COLOMBIAN HEALTH CARE SYSTEM,"+Mejorar la sostenibilidad del SGSSS con el fin de preservar los logros obtenidos en materia de cobertura, equidad y protección financiera, así como mejorar la salud de la población","Tasa de mortalidad prematura por enfermedades crónicas en población entre 30 y hasta 70 años (por cada 100.000 personas entre 30 y 70 años)
Patrimonio adecuado de EPS deficitarias
Cobertura de afiliación al SGSSS","Muertes por cada 100.000 habitantes
Billones de pesos
Porcentaje","+Mejorar la cobertura de afiliación de la población inmigrante
+Mejorar la eficiencia y cobertura del SGSSS
+Mejorar la gestión en servicios y tecnologías no financiadas con la UPC","+Inmigrantes afiliados
+Atenciones en salud obstétricas para inmigrantes no afiliados
+Número de departamentos/distritos a los cuales se les hace seguimiento de actividades programáticas de promoción y mantenimiento de la salud en el marco de los acuerdos MAITE a través del sistema de información del MSPS
+Número de entidades usuarias de la herramienta de seguimiento nominal
+Proporción de personas de treinta años o más en cada territorio priorizado para el Componente 2 con tamizaje para riesgo cardiovascular y metabólico
+Proporción de gestantes con captación temprana al control prenatal (semana 12) en cada territorio priorizado para el Componente 2
+Proporción de mujeres entre 25 y 65 años tamizadas para cáncer de cuello uterino con cualquier prueba de tamización en los territorios priorizados para el Componente 2
+Ahorro por valores máximos de recobro o techos presupuestales en servicios y tecnologías no financiadas con la UPC en régimen contributivo
+Porcentaje de recobros por concepto de tecnologías no financiadas con la UPC del régimen contributivo prestados a 25 de mayo de 2019 saneados
+Porcentaje de cuentas por pagar de las entidades territoriales por concepto de tecnologías no financiados con cargo a la UPC del régimen subsidiado prestados a 31 de diciembre de 2019 pagadas","+# of beneficiaries
+# of beneficiaries
+# de departamentos/distritos
+# de entidades (EPS e IPS)
+% en cada territorio
+% en cada territorio
+% en cada territorio
+Miles de millones de COP
+%
+%","+BDUA del MSPS.
+Informe del MSPS con base en proceso de auditoría de pagos.
+Informe de verificación de indicador de desembolso del DNP que incluya: Reporte de actividades programáticas trimestral del MSPS y acta de seguimiento trimestral por cada entidad territorial.
+Informe de implementación de la herramienta nominal del MSPS.
+Informe de implementación de la herramienta nominal del MSPS.
+Informe de implementación de la herramienta nominal del MSPS.
+Informe de implementación de la herramienta nominal del MSPS.
+Base de datos de recobros de la Administradora de los Recursos del Sistema General de Seguridad Social en Salud (ADRES), posterior a la estandarización realizada por la Dirección de Beneficios, Costos y Tarifas del Aseguramiento en Salud del MSPS.
+Informe de ejecución del acuerdo de punto final por parte de la Dirección de Financiamiento Sectorial del MSPS.
+Informe de ejecución del acuerdo de punto final por parte de la Dirección de Financiamiento Sectorial del MSPS.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DR-L1067,2013,Strengthening of the Management for Results of the Sector Health in Dominican Republic,DR-L1067 - Strengthening of the Management for Results of the Sector Health in Dominican Republic,+Acceso de la población pobre a los servicios de salud mejorado y morbi-mortalidad materna e infantil disminuida,"Mortalidad materna disminuida en los seis hospitales en los que se implementará el Modelo de Centros de Excelencia CIME Materno Infantil (CEMI)
Mortalidad infantil disminuida en los hospitales en que se implementará el CEMI
Población pobre I-II (SIUBEN) no cubierta por ningún régimen con acceso garantizado a los servicios de salud primer nivel a través del FBR, en las cinco regiones de salud del Proyecto","Porcentaje
Porcentaje
Personas","+Mejorar la asignación del gasto en salud mediante la expansión del FBR, con especial énfasis en el primer nivel de atención
+Contribuir a la disminución de la morbi-mortalidad materna e infantil mediante la expansión de una estrategia de mejoras gerenciales en los servicios de salud de segundo y tercer nivel","+Cantidad de dependientes afiliados al régimen subsidiado que poseen información de acta de nacimiento en la base de datos de afiliados del SENASA en las cinco regiones del proyecto, aumentado.
+Hombres diagnosticados con Diabetes tipo II en tratamiento según protocolo nacional en las cinco regiones del proyecto, aumentado
+Hombres diagnosticados con hipertensión arterial en tratamiento según protocolo nacional en las cinco regiones del proyecto, aumentado
+Hombres mayores de 18 años con tamizaje para diabetes según protocolo nacional (screening diabetes) en las cinco regiones del proyecto, aumentado
+Hombres mayores de 18 años tamizados para hipertensión arterial según protocolo nacional en las cinco regiones del proyecto, aumentado
+Porcentaje de individuos sintomáticos respiratorios captados con resultados de baciloscopia documentado en centro de primer nivel en las cinco regiones del proyecto, aumentado
+Porcentaje de menores de 15 meses con esquema de vacunación completo según protocolo nacional en las cinco regiones del Proyecto, aumentado
+Porcentaje de mujeres de mujeres embarazadas con evaluación de riesgo del embarazo realizada antes de la semana 15 de embarazo en las cinco regiones del Proyecto, aumentada
+Porcentaje de mujeres puérperas referidas del hospital a su unidad de atención primaria correspondiente con la documentación adecuada incluida en los archivos clinicos del centro de salud en las cinco regiones del Proyecto, aumentado.
+Porcentaje de niños mayores de 15 meses y menores de 24 meses con esquema de vacunación completo según protocolo nacional en las cinco regiones del Proyecto, aumentado
+Porcentaje de niños menores de 24 meses con controles de desarrollo y crecimiento completo según protocolo nacional en las cinco regiones del proyecto, aumentado
+Porcentaje de población SIUBEN I y II con carnets de afiliación al régimen subsidiado en las cinco regiones del proyecto, aumentado
+Mujeres diagnosticadas con Diabetes tipo II en tratamiento según protocolo nacional en las cinco regiones del proyecto, aumentado
+Mujeres diagnosticadas con hipertensión arterial en tratamiento según protocolo nacional en las cinco regiones del proyecto, aumentado
+Mujeres mayores de 18 años con tamizaje para diabetes según protocolo nacional (screening diabetes) en las cinco regiones del proyecto, aumentado
+Mujeres mayores de 18 años tamizadas para hipertensión arterial según protocolo nacional en las cinco regiones del proyecto, aumentado
+Hospitales con SIGHO implementado y en funcionamiento en los hospitales en que se implementará el CEMI.
+Porcentaje de las muertes neonatales auditadas auditadas por los Comités de Maternidad Segura con al menos una de las medidas correctivas implementadas en los hospitales en que se implementará el CEMI.
+Porcentaje de muertes maternas e incidentes auditados por los Comités de Maternidad Segura con al menos una de las medidas correctivas implementadas en los hospitales en que se implementará el CEMI.
+Porcentaje de mujeres que reciben tratamiento activo de la tercera etapa del parto en los hospitales en que se implementará el CEMI, aumentado .","+Dependientes
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Porcentaje
+Sistema
+Porcentaje
+Porcentaje
+Porcentaje","+Reporte de Base de Datos del SENASA
+Reportes Sistema Gestión Clínica Primer Nivel (SGC)
+Reportes Sistema Gestión Clínica Primer Nivel (SGC)
+Reportes Sistema Gestión Clínica Primer Nivel (SGC)
+Reportes Sistema Gestión Clínica Primer Nivel (SGC)
+Reportes Sistema Gestión Clínica Primer Nivel (SGC)
+Reportes Sistema de Gestión Clinica Primer Nivel (SGC)
+Reportes Sistema de Gestión Clinica Primer Nivel (SGC)
+Reportes Sistema Gestión Clínica Primer Nivel (SGC)
+Reportes Sistema de Gestión Clinica Primer Nivel (SGC)
+Reportes Sistema de Gestión Clinica Primer Nivel (SGC)
+Informes de empresa encargada de elaboración y entrega de carnets / reportes de auditorías concurrentes
+Reportes Sistema Gestión Clínica Primer Nivel (SGC)
+Reportes Sistema Gestión Clínica Primer Nivel (SGC)
+Reportes Sistema Gestión Clínica Primer Nivel (SGC)
+Reportes Sistema Gestión Clínica Primer Nivel (SGC)
+Reportes anuales de evaluación emitidos por la Dirección de Tecnología de Información del MISPAS
+Actas de las sesiones del Comité
+Actas de las sesiones del Comité
+Reportes de Descripción de Parto obtenido en la primera etapa del registro físico de cada paciente, una vez implementado el SIGHO",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
