"","Project Number","Baseline Year.x","Baseline Year.y","Operation Name","Long.op.name","objectives","objectives_indicators","outcomes","outcomes_indicators","outcomes_units","outcomes_means","health","malaria","covid","acceso","morbilidad","eficiencia","equidad","calidad_name","calidad_g_objective","calidad_outcome","calidad_outcome_ind","not.a.loan"
"23","BR-L1372",2014,2016,NA,"BR-L1372 - NA","+Condicao de vida das familias mediante acoes do Governo melhoradas","Famílias com 24 meses ou mais no programa com acesso e uso de serviços em educação, saúde e documentação civil básica, melhorados
Familias com indice melhorado de habilitação psicosocial
Famílias no programa com 24 meses ou mais de acompanhamento, que estão desenvolvendo iniciativas de habilitação social por conta própria
Familias com acesso e uso dos servicos em educacao, saude e desenvolvimento social produtivo melhorados
Familias abordadas pelo programa ao concluir 24 meses de acompanhamento, que deram continuidade a sua propria habilitacao social","+Resultado Final 1: Autonomia das Familias vulneraveis melhorado
+Resultado Final 2: Bairros integralmente melhorados
+Resultado Final 3: Capacidade institucional fortalecida","+Familias que após dois anos de acompanhamento, possuem 60% das ações do plano de ação cumpridas
+Mulheres e homens participantes dos empreendimentos financiados pelo programa que melhoram sua renda
+Crianças entre 06 e 14 anos, que estavam fora da escola, foram incorporados e permaneceram na escola após dois anos de acompanhamento
+Familias atendidas pelo subcomponente 2.1 que habitam em casas de materiais e pisos permanentes
+Familias atendidas pelo subcomponente 2.1 com acesso a agua potavel no domicilio
+Participantes da capacitacao sobre a metodologia do programa e que obtiveram pelo menos 60% da prova de conhecimento","+%
+%
+%
+%
+%
+%","+Sistema de informaçao do Programa
+Sistema de informaçao do Programa
+Sistema de informaçao do Programa
+Relatorio semestral do Programa
+Relatorio semestral do Programa
+Testes de conhecimento",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"24","BR-L1376",2014,2014,"Strengthening health management in the State of São Paulo","BR-L1376 - Strengthening health management in the State of São Paulo","+Condições de Saúde da População do Estado de São Paulo melhoradas","Mortalidade por enfermidades crônicas não transmissiveis por 100.000 habitantes
Mortes prematuras por acidentes cardiovasculalres
Mortes prematuras por diabetes mellitus
Taxa de internações sensíveis à atenção básica
Mortalidade por enfermidades crônicas não transmissiveis por 100.000 habitantes","+Serviços de Saúde seguindo o modelo de redes estruturados","+Beneficiários que recebem serviços de saúde
+Índice de Eficiencia em Regulação de CRG's
+Índice sobre produção em Unidades Basicas de Saúde (consultas e outros servicos de saúde no municipios priorizados)
+Eventos eletivos incorporados nas CRG's
+Índice de consultas em CAP's nos municipios priorizados","+# of beneficiaries
+Percentual
+Percentual
+Percentual
+Percentual","+DATASUS
+valor a ser definido na missao de arranque
+Valor indice 2012=100, fonte DATASUS
+dado a ser verificado na missao de arranque nas DRS
+Valor indice 2012=100, fonte DATASUS",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"25","BR-L1389",2015,2015,"Strengthening the Unified Health System in Salvador","BR-L1389 - Strengthening the Unified Health System in Salvador","+Condições de Saúde da População do Estado da Bahia melhoradas","Taxa de mortalidade prematura por Diabetes Mellitus
Proporção de hospitalizações por condições sensíveis a atenção básica
Taxa de mortalidade prematura por Diabetes Mellitus","+Melhorar a gestão do SUS na RMS, a fim de fortalecer o rol estratégico da SESAB e através do desenvolvimento de um modelo de atenção integrada em rede.
+Melhorar a oferta e a qualidade dos serviços de saúde reduzindo os déficits na atenção primária e consolidando a APS como porta de entrada coordenada e organizadora da atenção.","+Redução do tempo de espera para atendimento de pacientes na emergência do Hospital Geral.
+Cobertura estimada do PSF na RMS
+Mulheres adultos (maiores ou igual a 18 anos) que praticam volume recomendado de atividades físicas no seu tempo livre em Salvador
+Razão de mulheres (na faixa etária de 25-64 anos) com exames citopatológicos realizados anualmente
+População cadastrada no PSF (Programa Saúde da Família)
+Média de permanência de pacientes internados em hospitais estrategicos da RMS
+Número de pessoas que recebem serviços de saúde","+min
+Percentual
+Percentual
+pruebas por mulher
+Percentual
+dias
+# of beneficiaries","+NA
+DATASUS
+VIGITEL
+SESAB/ SUVISA/ DIS – SIASUS, IBGE
+DATASUS
+DATASUS
+DATASUS",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"26","BR-L1406",2010,2010,NA,"BR-L1406 - NA","+Redução de iniquidade e melhora de serviços públicos, mediante o apoio para o alcance de metas de cobertura escolar.
+Condição de vida dos adolescentes e jovens beneficiarios da assistencia social melhoradas","Índice de Vulnerabilidad Social (IVS) de Ceará
Índice de Vulnerabilidad Social (IVS) de Ceará","+Protección social especial fortalecida
+Inserción productiva y promoción del empleo apoyada
+Servicios sociales por medio de los planes participativos municipales expandidos.","+Jovens internos nos novos centros socio-educativos que completam atividades de capacitação profissional
+Adolescentes / jovens internos dos novos centro-educativos que contam com Planos Individuais de Atenção elaborados com a participação das familias
+Taxa média de reincidencia de adolescentes/ jovens internos nos dois novos centros socio-educativos
+Vagas de emprego formal captadas por ano nas Agências do Trabalhador (Aldeota, Horizonte, São Gonçalo do Amarante e Sobral) pelo Sistema Nacional de Emprego no Ceará
+Número de serviços autônomos executados pelo número de pedidos de solicitação de serviços de trabalhadores autônomos
+IDCRAS médio dos CRAS construidos e equipados
+Média de número de beneficiarios do Sistema Único de Assistencia Social (SUAS) atendidos pelos novos Centros de Referencia de Assistencia Social (CRAS)
+Cobertura de crianças matriculadas no novos Centros de Educação Infantil (CEI)
+Média de jovens que completam atividades esportivas estruturadas nos equipamentos esportivos
+Taxa de aproveitamento das vagas de emprego formal (número de trabalhadores colocados pelo número de vagas captadas)","+Percentual
+Percentual
+Percentual
+Vagas
+Percentual
+Percentual
+# of beneficiaries
+Percentual
+Pessoas
+Percentual","+Sistema de Informação do Programa/ Base de dados do SEAS
+Sistema de Infomação do Programa
+Pesquisa dos níveis de satisfação, reincidência e Reinserção Social das adolescentes em conflito com a lei no Estado do Ceará (PROARES II)
+Relatório de atividades do SINE/IDT para o período Jan a Dez de cada ano.
+Sistema do IDT
+Ministerio de Desenvolvimento Social do Brasil (MDS)
+CADUNICO
+Sistema de Infomação do Programa
+Sistema de Infomação do Programa
+Relatório de atividades do SINE/IDT para o período Jan a Dez de cada ano.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"27","BR-L1408",2013,2014,"Program for the Expansion and Improvement of Specialized Health Care in the State of Ceará II – PROEXMAES II","BR-L1408 - Program for the Expansion and Improvement of Specialized Health Care in the State of Ceará II – PROEXMAES II","+Contribuir para a melhoria das condições de saúde da população do Ceará.","1.2 Taxa de mortalidade prematura por Acidente Vascular Cerebral (AVC).
1.3 Porcentagem de nascidos vivos com baixo peso ao nascer <2.500 g.
1.1 Taxa de mortalidade prematura por Diabetes Mellitus (DM)
1.1 Taxa de mortalidade prematura por Diabetes Mellitus (DM)","+Acesso e qualidade dos serviços de saúde aumentados.
+Desempenho do sistema de saúde melhorado.","+2.2 Tempo médio de permanência (dias) de pacientes internados em hospitais da rede pública do Ceará.
+2.4 Tempo-resposta (dias) para os examenes de laboratorio na rede pública do Ceará. 
(*Para este resultado, serão tomados os examenes de uréia, creatinina, T4, TSH e hemoglobina glicosilada.)
+2.3 Número de dias para emissão de relatório médico para tomografia.
+1.4 Porcentagem de todas as grávidas diagnosticadas con sífilis com o diagnóstico no primeiro trimestre da gestação.
+2.1 Beneficiários de serviços de saúde.
+1.1 Porcentagem de internações por condições sensíveis a atenção básica.
+1.2 Taxa anual de hospitalizações por Diabetes Mellitus e suas complicações na população de 30 a 59 anos de idade residentes no Ceará.
+1.3 Porcentagem de consultas especializadas de atenção pré-natal de gravidez de risco realizadas em relação às programadas.","+dias
+dias
+dias
+%
+# of beneficiaries
+%
+por 10.000 habitantes
+%","+SRU/SESA
+Superintendência de Redes e Unidades (SRU/SESA)
+Superintendência de Redes e Unidades (SRU/SESA)
+DATASUS
+DATASUS
+DATASUS
+DATASUS SIH-SUS (Sistema de Informação Hospitalária) Instituto Brasileiro de Geografia e Estatística (IBGE)
+Superintendência de Redes e Unidades (SRU/SESA)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"28","BR-L1414",2012,2017,"Program for Strengthening Social Inclusion and Healthcare Networks – PROREDES Fortaleza","BR-L1414 - Program for Strengthening Social Inclusion and Healthcare Networks – PROREDES Fortaleza","+Contribuir a mejorar las condiciones de salud de la población general y reducir las conductas de riesgo de jóvenes vulnerables del Municipio de Fortaleza (MF).
+Comportamientos de riesgo de la poblacion entre 15 y 29 años de edad en la ciudad de Fortaleza reducidos.","Proporción de hospitalizaciones por causas seleccionadas sensibles a la Atención Básica (AB).
Tasa de mortalidad precoz (30-69 años) por diabetes mellitus y sus complicaciones.
% de jóvenes que han participado en programas de la CEPPJ en el último año y que tienen menos de 2 conductas de riesgo.
Tasa de mortalidad precoz (30-59 años) por diabetes mellitus y sus complicaciones.
Porcentaje de jóvenes de 16 a 29 años certificados en los cursos professionales realizados por la Política de Juventud que logran un trabajo en un período de 1 año después de su conclusión
Tasa de mortalidad precoz (30-69 años) por accidente cerebrovascular.
Tasa de empleo de los jóvenes entre 25 y 29 años que culminaron un curso profesional en la RED CUCA un año después de concluido el curso.
Tasa de mortalidad precoz (30-59 años) por diabetes mellitus y sus complicaciones.
Porcentaje de jóvenes de 16 y 17 años que siguen matriculados en la escuela un año después de haberse inscrito en el CUCA.
Tasa de mortalidad precoz (30-59 años) por accidente cerebrovascular.
Proporción de hospitalizaciones por causas seleccionadas sensibles a la Atención Básica (AB).
Porcentaje de jóvenes de 16 y 17 años que siguen matriculados en la escuela un año después de haberse inscrito en el CUCA.
Tasa de mortalidad precoz (30-59 años) por accidente cerebrovascular.
Porcentaje de jóvenes de 15 a 29 años certificados en los cursos professionales realizados por la Política de Juventud que logran un trabajo en un período de 1 año después de su conclusión
Tasa de mortalidad precoz (30-59 años) por diabetes mellitus y sus complicaciones.
Porcentaje de jóvenes beneficiados con crédito que siguen en actividades comerciales después de 1 año de recibir el crédito
Tasa de empleo de los jóvenes entre 25 y 29 años que culminaron un curso profesional en la RED CUCA un año después de concluido el curso.
Proporción de hospitalizaciones por causas seleccionadas sensibles a la Atención Básica (AB).
% de jóvenes que han participado en programas de la CEPPJ en el último año y que tienen menos de 2 conductas de riesgo.
Tasa de mortalidad precoz (30-59 años) por accidente cerebrovascular.","+Ampliar el acceso y la calidad de los servicios de salud de mediana complejidad, y mejorar su integración con la atención primaria, para mejorar el modelo de Redes de Atención a la Salud (RAS)
+Consolidar la oferta municipal de actividades formativas, culturales, deportivas y de prevención de conductas de riesgo para la población joven de Fortaleza
+Redes integradas de servicios de salud y de inclusión social para la juventud en Fortaleza consolidada y expandida.","+Tasa anual de hospitalizaciones por diabetes mellitus y sus complicaciones en la población de 30 a 69 años de edad, residente en Fortaleza.
+Tasa anual de hospitalizaciones por accidente cerebrovascular en la población de 30 a 69 años de edad residente en Fortaleza.
+Beneficiarios de programas destinados a combatir la pobreza.
+Beneficiarios que reciben servicios de salud.
+% de Jóvenes que participa en la RED CUCA que completa cursos en que se inscribe: 1 - Educación;
+% de Jóvenes que participa en la RED CUCA que completa cursos en que se inscribe: 2 - Deportes;
+Índice de Habilidades Emocionales de los jóvenes participantes en Actividades de Intercambio, creación de empresas y Projovem.
+Beneficiarios de actividades de la área de derechos humanos de la Red CUCA
+% de Jóvenes que participan en el programa Juventud Sin Fronteras (JSF) que lograron progredir en dos niveles el en idioma del país de destino
+Beneficiarios de actividades de la área de derechos humanos de la Red CUCA
+% de Jóvenes que participa en la RED CUCA que completa cursos en que se inscribe: 1 - Educación;
+Tiempo promedio en días de espera entre la entrada en la fila de espera y la confirmación de la cita en: Neurología adulto
+Beneficiarios de programas destinados a combatir la pobreza.
+Índice de Habilidades Emocionales de los jóvenes participantes en Actividades de Intercambio, creación de empresas y Projovem.
+Tasa anual de hospitalizaciones por diabetes mellitus y sus complicaciones en la población de 30 a 59 años de edad, residente en Fortaleza.
+% de Jóvenes que participa en la RED CUCA que completa cursos en que se inscribe: 2 - Deportes;
+% de Jóvenes que participan en el programa Juventud Sin Fronteras (JSF) que lograron progredir en dos niveles el en idioma del país de destino
+Beneficiarios que reciben servicios de salud.
+Tiempo promedio en días de espera entre la entrada en la fila de espera y la confirmación de la cita en: Endocrinología adulto
+Tasa anual de hospitalizaciones por accidente cerebrovascular en la población de 30 a 59 años de edad residente en Fortaleza.","+por 10.000 hab
+por 10.000 hab
+# of beneficiaries
+# of beneficiaries
+%
+%
+Indice
+Beneficiarios
+%
+Beneficiarios
+%
+Días
+# of beneficiaries
+Indice
+por 10.000 hab
+%
+%
+# of beneficiaries
+Días
+por 10.000 hab","+DATASUS / SIH-SUS / IBGE
+DATASUS SIH-SUS (Sistema de Información Hospitalaria).
+Sistema de Informaciones de la RED CUCA.
+DATASUS
+Sistema de Informaciones de la RED CUCA.
+Sistema de Monitoreo de las actividades de la Red CUCA
+Cuestionarios específicos a jóvenes participantes.
+Informes de monitoreo de metas de la Red CUCA
+Informe de la institución certificadora
+Informes de monitoreo de metas de la Red CUCA
+Sistema de Informaciones de la RED CUCA.
+Sistema de Regulación Municipal
+Sistema de Informaciones de la RED CUCA.
+Cuestionarios específicos a jóvenes participantes.
+DATASUS / SIH-SUS / IBGE
+Sistema de Monitoreo de las actividades de la Red CUCA
+Informe de la institución certificadora
+DATASUS
+Sistema de Regulación Municipal
+DATASUS SIH-SUS (Sistema de Información Hospitalaria).",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"29","BR-L1415",2013,2015,"Strengthening Unified Health System in São Bernardo do Campo","BR-L1415 - Strengthening Unified Health System in São Bernardo do Campo","+Condições de Saúde da população de SBC melhoradas","Taxa de mortalidade precoce (30-59 anos) diabetes mellitus e suas complicações na população residente em SBC.
Taxa de mortalidade precoce (30-59 anos) por doença cerebrovascular na população residente em SBC.
Proporção de internações por causas selecionadas sensíveis à Atenção Básica
Taxa de mortalidade neonatal institucional (Hospital da Mulher)
Taxa de mortalidade precoce (30-59 años) por diabetes mellitus e suas complicações
Proporção de hospitalizações por causas selecionadas sensiveis a Atenção Básica (AB)
Taxa de mortalidade precoce (30-59 años) por acidente cerebrovascular
Taxa de mortalidade neonatal institucional (HMU)","+Indicadores de resultado final
+Indicadores de Resultados Intermediários","+Taxa anual de internação hospitalar por acidente vascular cerebral na População de 30 a 59 anos de idade, residente em SBC.
+Consultas médicas em NEUROLOGIA realizadas na rede SUS municipal
+Consultas médicas em ENDOCRINOLOGIA realizadas na rede SUS municipal
+Taxa anual de internação hospitalar por diabetes mellitus e suas complicações na população de 30 a 59 anos de idade, residente em SBC.
+Proporção de partos SUS de residentes realizados na rede SUS Municipal
+Consultas médicas em CARDIOLOGIA realizadas na rede SUS municipal
+Proporção de parto normal na rede SUS municipal
+Pessoas que recebem serviços de saúde na rede SUS municipal
+Proporção de parto normal em primíparas na rede SUS municipal","+número de internações
+consulta médica
+consultas médicas
+número de internações
+partos
+consultas médicas
+partos
+# of beneficiaries
+partos","+DATASUS, SIH-SUS, IBGE
+Total de consultas médicas em NEUROLOGIA realizadas na rede SUS municipal
+Total de consultas médicas em ENDOCRINOLOGIA realizadas na rede SUS municipal
+DATASUS, SIH-SUS, IBGE
+DATASUS, SINASC (Sistema de Informação de Nascidos Vivos)
+Total de consultas médicas em CARDIOLOGIA realizadas na rede SUS municipal
+SINASC (Sistema de Informação de Nascidos Vivos)
+TABNET ANS/IBGE
+SINASC (Sistema de Informação de Nascidos Vivos)",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"30","BR-L1429",2016,2016,"CITY OF SÃO PAULO HEALTH CARE NETWORKS RESTRUCTURING AND QUALITY CERTIFICATION PROJECT – AVANÇA SAÚDE SP","BR-L1429 - CITY OF SÃO PAULO HEALTH CARE NETWORKS RESTRUCTURING AND QUALITY CERTIFICATION PROJECT – AVANÇA SAÚDE SP","+Tasas mejoradas","Tasa de mortalidad prematura por doencas coronariana - MUJERES
Tasa de internaciones por condiciones sensibles a la atención básica - MUJERES
Tasa de mortalidad prematura por accidentes cerebro vasculares (ACV) - HOMBRES
Tasa de mortalidad prematura por doencas coronariana - HOMBRES
Tasa de mortalidad prematura por accidentes cerebro vasculares (ACV) - MUJERES
Tasa de internaciones por condiciones sensibles a la atención básica - HOMBRES
Tasa de mortalidad prematura por Diabetes Mellitus (DM) - HOMBRES
Tasa de mortalidad prematura por Diabetes Mellitus (DM) - MUJERES","+Tiempos de permanencia en los hospitales mejorado","+Coeficiente de incidencia de Sifilis Congenita
+Porcentaje de pacientes residentes la región norte atendidos en hospitales de la misma región (media complejidad)
+Tasa de atenciones de UE clasificadas por riesgo en los servicios de la RUE
+Porcentaje de nuevas obras y renovaciones, financiado con recursos del BID, certificado (sello de sostenibilidad) por el departamento de Edificios (EDIF) de SIURB
+Tasa de mortalidad por enfermedades coronarianas
+Tasa de hospitalización por Diabetes Mellitus y sus complicaciones
+Ratio de consultas médicas básicas programadas/ populación
+Numero de personas que reciben servicios de salud
+Tiempo promedio de permanencia de usuarios por séquelas de enfermedades cerebrovasculares e de consecuencias externas en hospitales generales SUS
+Proporción de internación en carácter de urgencia en los hospitales estratégicos
+Cobertura estimada de Atención Primaria
+Numero de personas que reciben servicios de salud
+Porcentaje de todas las embarazadas diagnosticadas con sífilis con el diagnóstico y tratamiento
+Tiempo promedio de permanencia en hospitales generales da rede SUS de la ciudad de São Paulo","+/1000NV
+%
+%
+%
+/10000 habitantes
+/10000 habitantes
+/100 habitantes
+# of beneficiaries
+día
+%
+%
+Personas
+%
+dia","+dados oficiais DATASUS
+SIH-SUS / SEADE
+DATASUS
+FONTE DE DADO EDIF-SIURB
+SIM-SUS / SEADE
+SIH-SUS / SEADE
+SIA-SUS / SEADE
+dados oficiais DATASUS
+SIH-SUS
+SIH-SUS
+CNES / SEADE
+dados oficiais DATASUS
+Sistema de Monitoreo de la SMSSP
+SIH-SUS",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"31","BR-L1518",2016,2019,"Program to Strengthen the Care Model in the Paraiba Health Network","BR-L1518 - Program to Strengthen the Care Model in the Paraiba Health Network","+Contribuir para a melhoria das condições de saúde da população da Paraíba
+Contribuir a mejorar las condiciones de salud de la población de Paraíba","Taxa de mortalidade prematura por Diabetes Melitus (DM) - Homens
Taxa de mortalidade prematura por acidentes cerebrais-vasculares - Homens
Tasa de mortalidad materna por causas directas (obstétricas)
Tasa de mortalidad prematura por accidentes cerebrovasculares - Hombres
Taxa de mortalidade prematura por acidentes cerebrais-vasculares - Mulheres
Taxa de mortalidade prematura por Diabetes Melitus (DM) - Homens
Tasa de mortalidad por enfermedades coronarias - Mujeres
Taxa de mortalidade prematura por Diabetes Melitus (DM) - Mulheres
Taxa de mortalidade prematura por Diabetes Melitus (DM) - Mulheres
Taxa de mortalidade prematura por acidentes cerebrais-vasculares - Homens
Taxa de mortalidade prematura por enfermidades coronárias - Mulheres
Taxa de mortalidade prematura por acidentes cerebrais-vasculares - Mulheres
Taxa de mortalidade prematura por enfermidades coronárias - Homens
Taxa de mortalidade prematura por enfermidades coronárias - Mulheres
Tasa de internaciones por condiciones sensibles a la atención básica- Hombres
Tasa de mortalidad prematura por Diabetes Mellitus (DM) - HOMBRES
Taxa de mortalidade prematura por enfermidades coronárias - Homens
Tasa de mortalidad prematura por Diabetes Mellitus (DM) - MUJERES
Tasa de mortalidad por enfermedades coronarias - Hombres
Tasa de mortalidad prematura por accidentes cerebrovasculares - Mujeres
Taxa de mortalidade materna por causas diretas
Tasa de internaciones por condiciones sensibles a la atención básica- Mujeres","+Contribuir para a melhoria das condições de saúde da população da Paraíba através da consolidação das Redes de Atenção à Saúde (RAS) e do fortalecimento das capacidades de gestão estadual da saúde.","+32 unidades hospitalares e quatro unidades de pronto atendimento da rede estadual com sistema de gestão hospitalar funcionando
+Cobertura de exames citopatológicos para detectar câncer de colo do útero (população recomendada pelo Ministério da Saúde)
+Gestantes Diagnosticadas com sífilis, com tratamento correto prescrito
+Número de pessoas que recebem serviços de saúde
+Taxa de internação por AVC
+Gerências da SES com sistemas de informação em saúde implantados
+Percentual de partos normais realizados na rede estadual do SUS","+número de unidades
+%
+%
+# of beneficiaries
+/10.000 habitantes
+%
+%","+Fonte de indicador: SES. Cálculo: número de unidades hospitalares e unidades de pronto atendimento da rede estadual com software de gestão hospitalar implantados
+Fonte do indicador: SIA SUS/DATASUS. Fórmula: soma da frequência do número de exames citopatológicos do colo do útero (procedimentos 02.03.01.001-9, exames citopatológicos cervico vaginal / microflora e 02.03.01.008-6 exames citopatológicos cervico vaginal / microflora rastreamento) realizados em mulheres de faixa etária de 25 a 64 anos por município de residência e ano de atendimento População feminina na faixa etária de 25 a 64 anos no mesmo local e ano / 3
+Fonte do indicador: SINAN. Número de gestantes diagnosticadas com sífilis que receberam a prescrição correta em um determinado ano / Número de gestantes diagnosticadas com sifílis em um determinado ano * 100
+Fonte do indicador: DATASUS + IBGE. Número de pessoas SUS dependentes nas macroregiões de João Pessoa, Campina Grande e Patos.O aumento de cobertura será alcançada pela ampliação das linhas de cuidado e serviços de alta complexidade à toda população SUS dependente do Estado da Paraíba.
+Fonte do indicador: Sistema de Informações Hospitalares (SIH) e IBGE. Cálculo: N° internações por AVC em determinado local e período / população em um mesmo local e período *10.000
+Fonte de indicador: SES. Cálculo: (número de gerências atendidas com implantação e suporte de sistemas de informação / total de gerências da SES)*100
+Fonte do indicador: Sistema de Informações Hospitalares (SIH) e IBGE. Cálculo: N° de partos normais (CID10 080) em determinado local e período / total de partos realizados em determinado local e período*100",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"32","BR-L1519",2017,2018,"Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","BR-L1519 - Modernization and Quality Improvement of Health Services Networks in Belo Horizonte - BetterHealth-BH","+Contribuir para melhorar a saúde da população do Município de Belo Horizonte
+Contribuir para mejorar la salud de la población del Municipio de Belo Horizonte","Percentual de internações por condições sensíveis à atenção primária
Tasa de mortalidad prematura por Enfermedades Crónicas no Transmisibles
Taxa de Mortalidade Prematura por doenças crônicas não transmissíveis
Porcentaje de hospitalizaciones por condiciones sensibles a la atención básica","+Melhoria da qualidade e eficiencia dos serviços de saúde
+Ampliação do acesso aos serviços de saúde","+Tempo médio para distribuição de vacinas para as unidades de saúde.
+Número de pessoas que recebem serviços de saúde.
+Proporção de consultas registradas na solução tecnológica (SIGRAH) em relação ao total de consultas.
+Taxa de infecção da corrente sanguínea associada a cateter venoso central nas UTIs dos hospitais participantes do Programa de Desenvolvimento Hospitalar (mediana).
+Proporção de recém-nascidos (RN) com 37 semanas ou mais de gestação com apgar de 5º minuto ≤ 7 na maternidade do Hospital Municipal Odilon Behrens .
+Razão de exames citopatológicos do Colo do Útero em mulheres de 25 a 64 anos.
+Taxa de partos normais da maternidade do Hospital Municipal Odilon Behrens.
+Taxa de solicitações por internação realizada com diagnóstico de trombose venosa profunda.
+Tempo médio de espera para realização de endoscopia.
+Percentual de hospitais que cumprem com desempenho minimo de 70% no Programa de Desenvolvimento Hospitalar.","+dias
+# of beneficiaries
+/100 consultas
+Infecções / 1000 cateter venoso central – dia
+/ 100 recém-nascidos
+Exames / 3 mulheres
+/ 100 partos
+Solicitações / internação
+Meses
+%","+SIES (Relatório Semestral de Progresso)
+MS/SAPS/SISAB
+SIGRAH (numerador) e SISREDE, SIA, e-SUS e registros manuais (denominador)
+SISVISE (Relatório Semestral de Progresso)
+Comissão Perinatal, SINASC (Relatório Semestral de Progresso)
+SIA-SUS/ IBGE (Relatório Semestral de Progresso)
+Comissão Perinatal, SINASC (Relatório Semestral de Progresso)
+CINT/SIH (Relatório Semestral de Progresso)
+SISREG (Relatório Semestral de Progresso)
+Relatório final da auditoria",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"33","BR-L1543",2020,2020,NA,"BR-L1543 - NA","+Objetivo general de desarrollo: El objetivo general del proyecto será contribuir a mejorar el desarrollo infantil de la población beneficiaria del PCF de una manera más eficiente, refinando y calificando sus acciones.","Puntaje prueba Ages and Stages Questionnaire – 3 (ASQ-3)","+Objetivo específico de desarrollo 2: Gestión del PCF fortalecida
+Objetivo específico de desarrollo 1: Calidad de las ofertas de servicios de desarrollo infantil mejoradas","+R5. Municipios que implementan el sistema de información del PCF
+R6. Sesiones visitadoras/familias realizadas versus programadas (promedio)
+R7. Porcentaje de municipios que adopten estrategias recomendadas por PCF para la selección de beneficiarios
+R1. Presencia de libro o revista infantil en el domicilio
+R2. Puntaje de estimulación e interacción de la madre/cuidador
+R3. Puntaje en actividades promotoras del desarrollo del niño (últimos 3 días)
+R4. Número de beneficiarios de servicios de desarrollo infantil del PCF mejorado","+Municípios
+Percentual
+Percentual
+Percentual
+Puntos
+Puntos
+# of beneficiaries","+Informe semestral del proyecto
+Informe semestral del proyecto
+Informe semestral del proyecto
+Informe evaluación de impacto
+Informe evaluación de impacto
+Informe evaluación de impacto
+Informe semestral del proyecto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
