"","project_number","Country Name","Baseline Year","Long.op.name","objectives","Objective","outcomes","outcomes_indicators","outcomes_units","outcomes_means","reformulated","health","malaria","covid"
"418","BO-L1078","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Acceso/utilización de servicos hospitalarios incrementado","Egresos hospitalarios, por sexo (masculino) en los municipios de Potosí","# of beneficiaries","SNIS y registros administrativos de hospitales","NO",TRUE,FALSE,FALSE
"426","BO-L1078","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Acceso/utilización de servicos hospitalarios incrementado","Egresos hospitalarios, por sexo (femenino) en los municipios de Potosí","# of beneficiaries","SNIS y registros administrativos de hospitales","NO",TRUE,FALSE,FALSE
"434","BO-L1078","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Estándar nacional de eficiencia de producción de servicios (egresos) cumplido","Porcentaje de ocupación de camas del Nuevo Hospital, Potosí","Porcentaje","Estadísticas del hospital","NO",TRUE,FALSE,FALSE
"442","BO-L1078","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Estándar nacional de eficiencia de producción de servicios (egresos) cumplido","Egresos por cama del municipio de El Alto","Egresos","Sistema de Información en Salud - SNIS","NO",TRUE,FALSE,FALSE
"450","BO-L1078","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Redes de atención de salud fortalecidas a través de la implementación de norma de referencia y retorno","Porcentaje de pacientes referidos atendidos en el Hospital El Alto Norte","Porcentaje","Estadísticas del hospital","NO",TRUE,FALSE,FALSE
"458","BO-L1078","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Acceso/utilización de servicos hospitalarios incrementado","Egresos hospitalarios, por sexo (femenino) en el municipio de El Alto","# of beneficiaries","SNIS y registros administrativos de hospitales","NO",TRUE,FALSE,FALSE
"466","BO-L1078","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Estándar nacional de eficiencia de producción de servicios (egresos) cumplido","Egresos por cama del municipio de Potosí","Egresos","Sistema de Información en Salud - SNIS","NO",TRUE,FALSE,FALSE
"474","BO-L1078","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Estándar nacional de eficiencia de producción de servicios (egresos) cumplido","Porcentaje de ocupación de camas del Hospital El Alto Norte","Porcentaje","Estadísticas del hospital","NO",TRUE,FALSE,FALSE
"482","BO-L1078","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Acceso/utilización de servicos hospitalarios incrementado","Egresos hospitalarios, por sexo (masculino) en el municipio de El Alto","# of beneficiaries","SNIS y registros administrativos de hospitales","NO",TRUE,FALSE,FALSE
"490","BO-L1082","Bolivia",2012,"BO-L1082 - Improved Access to Health Services El Alto Bolivia","+Reducción de la mortalidad: i) neonatal; ii) materna; y ii) por cáncer cervico-uterino en El Alto","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.","Utilización de los servicios hospitalarios en el Municipio de El Alto incrementada","Porcentaje de partos institucionales en
relación al número de partos esperados
el Municipio de El Alto","%","Reporte SNIS Departamental","NO",TRUE,FALSE,FALSE
"496","BO-L1082","Bolivia",2013,"BO-L1082 - Improved Access to Health Services El Alto Bolivia","+Reducción de la mortalidad: i) neonatal; ii) materna; y ii) por cáncer cervico-uterino en El Alto","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.","Capacidad de resolución en atención de salud materno-infantil y CaCU (Cáncer Cérvico - Uterino) en el Municipio de El Alto mejorada","Porcentaje de mujeres tamizadas con IVAA
positivo que completan el tratamiento (crioterapia)
según protocolo en una semana","%","Reporte de los EESS intervenidos que atienden con IVAA. El programa municipal de CaCU prevé un registro especifico similar al actual registro de PAP.","NO",TRUE,FALSE,FALSE
"502","BO-L1082","Bolivia",2013,"BO-L1082 - Improved Access to Health Services El Alto Bolivia","+Reducción de la mortalidad: i) neonatal; ii) materna; y ii) por cáncer cervico-uterino en El Alto","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.","Capacidad de resolución en atención de salud materno-infantil y CaCU (Cáncer Cérvico - Uterino) en el Municipio de El Alto mejorada","Porcentaje de mujeres entre 30 y 49 años
tamizadas con IVAA que obtengan
resultado positivo (sobre el total de
mujeres tamizadas)","%","Reporte de los EESS intervenidos que atienden con IVAA. El programa municipal de CaCU prevé un registro especifico similar al actual registro de PAP","NO",TRUE,FALSE,FALSE
"508","BO-L1082","Bolivia",2013,"BO-L1082 - Improved Access to Health Services El Alto Bolivia","+Reducción de la mortalidad: i) neonatal; ii) materna; y ii) por cáncer cervico-uterino en El Alto","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.","Utilización de los servicios hospitalarios en el Municipio de El Alto incrementada","Porcentaje de emergencias derivadas a La Paz
sobre el total de emergencias generadas
en el Municipio El Alto","%","Registros del hospital de clínicas y hospitales de El Alto (Korea, Los Andes y Boliviano Holandes) a través de un registro sistematizado que sera diseñado en la implementación del proyecto","NO",TRUE,FALSE,FALSE
"514","BO-L1082","Bolivia",2013,"BO-L1082 - Improved Access to Health Services El Alto Bolivia","+Reducción de la mortalidad: i) neonatal; ii) materna; y ii) por cáncer cervico-uterino en El Alto","The objective of the project is to increase the ability of the municipal health network to respond comprehensively and timely to a demand for health care for the city of El Alto and nearby rural areas in order to reduce mortality, particularly the maternal and morbidity and mortality from cervical cancer.","Utilización de los servicios hospitalarios en el Municipio de El Alto incrementada","Personas que se benefician de un
paquete básico de servicios de salud.
(total de mujeres tamizadas bajo el
Programa)","# of beneficiaries","Reporte de los EESS intervenidos que atienden con IVAA","NO",TRUE,FALSE,FALSE
"520","BO-L1198","Bolivia",2017,"BO-L1198 - Program to improve accessibility to maternal and Neonatal health services in Bolivia","+Morbi-mortalidad materna y neonatal reducida","The program's general objective is to reduce maternal and neonatal morbidity and mortality, by increasingthe accessibility and enhancing the health outcomes of the prioritized health networks (those with the worst maternal and infantmortality and accessibility indicators). The specific objectives are: (i) to implement the essential neonatal obstetric care (ENOC)strategy and improve network performance by: (a) implementing processes for the continuous improvement of care quality, withemphasis on an ENOC service model; (b) supporting the digital transformation of the sector by improving health caremanagement information systems in the network and monitoring of maternal and neonatal morbidity and mortality; and(c) enhancing management capacities in the network and in individual healthcare facilities; and (ii) to strengthen the infrastructureof the health services network, by investing in works and equipment that improve its health outcomes, under a comprehensive,coordinated vision of the network","3. Capacidad de gestión y eficiencia de las redes y establecimientos de salud, incrementadas","Ocupación de camas","%","Sistema Nacional de Información en Salud y Vigilancia Epidemiológica. SNIS-VE","NO",TRUE,FALSE,FALSE
"524","BO-L1198","Bolivia",2017,"BO-L1198 - Program to improve accessibility to maternal and Neonatal health services in Bolivia","+Morbi-mortalidad materna y neonatal reducida","The program's general objective is to reduce maternal and neonatal morbidity and mortality, by increasingthe accessibility and enhancing the health outcomes of the prioritized health networks (those with the worst maternal and infantmortality and accessibility indicators). The specific objectives are: (i) to implement the essential neonatal obstetric care (ENOC)strategy and improve network performance by: (a) implementing processes for the continuous improvement of care quality, withemphasis on an ENOC service model; (b) supporting the digital transformation of the sector by improving health caremanagement information systems in the network and monitoring of maternal and neonatal morbidity and mortality; and(c) enhancing management capacities in the network and in individual healthcare facilities; and (ii) to strengthen the infrastructureof the health services network, by investing in works and equipment that improve its health outcomes, under a comprehensive,coordinated vision of the network","2. Capacidad resolutiva de la red de servicios de salud, incrementada","Tasa de mortalidad neonatal hospitalaria temprana en el municipio de El Alto (la tasa es por 1,000 NV)","Tasa","Sistema Nacional de Información en Salud y Vigilancia Epidemiológica. SNIS-VE","NO",TRUE,FALSE,FALSE
