"","project_number","outcomes","Country Name","Baseline Year","Long.op.name","objectives","Objective","outcomes_indicators","outcomes_units","outcomes_means","health","malaria","covid","outcomes_revised","old_outcome","verbs","direct_object","indirect_object"
"11","AR-L1196","Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna o el tratamiento de enfermedades crónicas","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Médicos del Primer Nivel de Atención que demuestran tener al menos 60% de los conocimientos en Terapéutica Racional de Medicamentos","Personas","Informe de evaluación de capacitaciones",TRUE,FALSE,FALSE,"Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna",0,"incrementar","competencias","detección oportuna"
"12","AR-L1196","Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna o el tratamiento de enfermedades crónicas","Argentina",2016,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Personal del Primer Nivel de Atención que demuestra tener al menos 80% de los conocimientos en estrategias de mejora de los cuidados de salud","Personas","Informe de evaluación de capacitaciones",TRUE,FALSE,FALSE,"Incrementar las competencias de los efectores del Primer Nivel de Atención para el tratamiento de enfermedades crónicas",0,"incrementar","competencias","enfermedades crónicas"
"13","AR-L1196","Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna o el tratamiento de enfermedades crónicas","Argentina",2016,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Personal del Primer Nivel de Atención que demuestra tener al menos 80% de los conocimientos en estrategias de mejora de los cuidados de salud","Personas","Informe de evaluación de capacitaciones",TRUE,FALSE,FALSE,"Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna",0,"incrementar","competencias","detección oportuna"
"14","AR-L1196","Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna o el tratamiento de enfermedades crónicas","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Agentes sanitarios que demuestran tener al menos 80% de los conocimientos en prevención y detección temprana de cáncer en el Primer Nivel de Atención","Personas","Informes de evaluación de capacitaciones",TRUE,FALSE,FALSE,"Incrementar las competencias de los efectores del Primer Nivel de Atención para el tratamiento de enfermedades crónicas",0,"incrementar","competencias","enfermedades crónicas"
"15","AR-L1196","Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna o el tratamiento de enfermedades crónicas","Argentina",2015,"AR-L1196 - MULTIPHASE PRIMARY HEALTH CARE PROGRAM FOR MANAGING CHRONIC NONCOMMUNICABLE DISE","+Contribuir a la reducción de la morbimortalidad por enfermedades crónicas no transmisibles en Argentina, con énfasis en la población con cobertura pública exclusiva","The objective of this second operation is to help reduce morbidity and mortality caused by chronic
noncommunicable diseases in Argentina, prioritizing the population with public coverage only. Specifically, this operation proposes to
help: (i) prioritize the primary care level as the gateway to the health care system; (ii) increase the population¿s access to screenings
for classification according to health risk; and (iii) increase access to timely treatment for those with moderate or high health risk suffering
from chronic conditions.","Agentes sanitarios que demuestran tener al menos 80% de los conocimientos en prevención y detección temprana de cáncer en el Primer Nivel de Atención","Personas","Informes de evaluación de capacitaciones",TRUE,FALSE,FALSE,"Incrementar las competencias de los efectores del Primer Nivel de Atención para la detección oportuna",0,"incrementar","competencias","detección oportuna"
"16","BO-L1067","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Bolivia",2010,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Mujeres con complicación obstétrica atendidas en Hospital","Porcentaje","Registros hospitalarios",TRUE,FALSE,FALSE,"Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado",1,"mejorar","acesso y calidad","Potosi"
"17","BO-L1067","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Bolivia",2013,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Personas Atendidas por un paquete básico de servicios de salud, que incluye parto institucional (madre y niño)","# of beneficiaries","Registro del Bono Juana Azurduy",TRUE,FALSE,FALSE,"Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado",1,"mejorar","acesso y calidad","Potosi"
"18","BO-L1067","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Bolivia",2011,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Recursos Humanos con capacitación CONE por tipo de establecimiento de salud","Personas","Informe específico del proyecto.",TRUE,FALSE,FALSE,"Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado",1,"mejorar","acesso y calidad","Potosi"
"19","BO-L1067","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Bolivia",2010,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Cobertura de Parto Institucional","Porcentaje","SNIS Departamental (Potosí)",TRUE,FALSE,FALSE,"Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado",1,"mejorar","acesso y calidad","Potosi"
"20","BO-L1067","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Bolivia",2011,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Establecimientos de Salud que cumplan con las normas de caracterización del Ministerio de Salud y Deportes en cuanto a infraestructura, equipo y Recursos Humanos","Número","Informes de Servicio Departamental de Salud, al final del proyecto se puede verificar con el Estudio de Brechas",TRUE,FALSE,FALSE,"Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado",1,"mejorar","acesso y calidad","Potosi"
"21","BO-L1067","Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado","Bolivia",2011,"BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","The objective of the program is to contribute to an improvement of the maternal and infant health status of the bolivian population, by strengthening the public health networks through an increased resolutive capacity of secondary care under the approach of the new model of Family Community and Intercultural Health.","Disponibilidad de mantenimiento de equipos médicos y no médicos por nivel de establecimientos de salud","Porcentaje","Informes específicos del proyecto.",TRUE,FALSE,FALSE,"Acceso a servicios de salud de calidad en el Departamento de Potosi mejorado",1,"mejorar","acesso y calidad","Potosi"
"22","BO-L1078","Acceso/utilización de servicos hospitalarios incrementado","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Egresos hospitalarios, por sexo (masculino) en los municipios de Potosí","# of beneficiaries","SNIS y registros administrativos de hospitales",TRUE,FALSE,FALSE,"Acceso/utilización de servicos hospitalarios incrementado",1,"incrementar","acceso",NA
"23","BO-L1078","Acceso/utilización de servicos hospitalarios incrementado","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Egresos hospitalarios, por sexo (femenino) en el municipio de El Alto","# of beneficiaries","SNIS y registros administrativos de hospitales",TRUE,FALSE,FALSE,"Acceso/utilización de servicos hospitalarios incrementado",1,"incrementar","acceso",NA
"24","BO-L1078","Acceso/utilización de servicos hospitalarios incrementado","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Egresos hospitalarios, por sexo (femenino) en los municipios de Potosí","# of beneficiaries","SNIS y registros administrativos de hospitales",TRUE,FALSE,FALSE,"Acceso/utilización de servicos hospitalarios incrementado",1,"incrementar","acceso",NA
"25","BO-L1078","Acceso/utilización de servicos hospitalarios incrementado","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Egresos hospitalarios, por sexo (masculino) en el municipio de El Alto","# of beneficiaries","SNIS y registros administrativos de hospitales",TRUE,FALSE,FALSE,"Acceso/utilización de servicos hospitalarios incrementado",1,"incrementar","acceso",NA
"26","BO-L1078","Estándar nacional de eficiencia de producción de servicios (egresos) cumplido","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Porcentaje de ocupación de camas del Nuevo Hospital, Potosí","Porcentaje","Estadísticas del hospital",TRUE,FALSE,FALSE,"Estándar nacional de eficiencia de producción de servicios (egresos) cumplido",1,"cumplir","eficiencia","egresos"
"27","BO-L1078","Estándar nacional de eficiencia de producción de servicios (egresos) cumplido","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Egresos por cama del municipio de El Alto","Egresos","Sistema de Información en Salud - SNIS",TRUE,FALSE,FALSE,"Estándar nacional de eficiencia de producción de servicios (egresos) cumplido",1,"cumplir","eficiencia","egresos"
"28","BO-L1078","Estándar nacional de eficiencia de producción de servicios (egresos) cumplido","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Porcentaje de ocupación de camas del Hospital El Alto Norte","Porcentaje","Estadísticas del hospital",TRUE,FALSE,FALSE,"Estándar nacional de eficiencia de producción de servicios (egresos) cumplido",1,"cumplir","eficiencia","egresos"
"29","BO-L1078","Estándar nacional de eficiencia de producción de servicios (egresos) cumplido","Bolivia",2011,"BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","The objective of the project is to improve the efficienc of health service production and the resolutive capacity of health networks in El Alto and Potosi to be able to attend to health requirements at the departmental level. The health networks will have greater capacity to resolve postponed or discouraged health needs, and will contribute to decongest reference hospitals at the national level. Given Bolivia's epidemilogical profile, the project's impact will be to contribute to the reduction of morbility and mortality, especially for mothers and infants. The project will complete and complement the functioning of health networks in Potosi and El Alto by constructing and equipping specialized hospitals in these cities.","Egresos por cama del municipio de Potosí","Egresos","Sistema de Información en Salud - SNIS",TRUE,FALSE,FALSE,"Estándar nacional de eficiencia de producción de servicios (egresos) cumplido",1,"cumplir","eficiencia","egresos"
