"","Project Number","Baseline Year","Operation Name","Long.op.name","objectives","objectives_indicators","objectives_units","health","malaria","covid","calidad","acceso","morbilidad","eficiencia","equidad"
"20","BO-L1064",2014,NA,"BO-L1064 - NA","+Contribuir a mejorar en forma sostenible y con pertinencia cultural, el desarrollo cognitivo, socio-emocional y físico de niñas y niños bolivianos
+Desarrollo cognitivo y fisico de niños/as bolivianos menores de 4 años.","Porcentaje de niños/as rezagados en desarrollo cognitivo (test psicomotor y de lenguaje) (en municipios intervenidos)
Niños menores de 4 años con desnutrición crónica en municipios intervenidos.
Niñas menores de 4 años rezagadas en el desarrollo cognitivo (test cognitivo y de lenguaje segun modulo de comunicacion del ASQ) en municipios intervenidos.
Niñas menores de 4 años con desnutrición crónica en municipios intervenidos.
Niñas menores de 4 años rezagadas en el desarrollo cognitivo (test cognitivo y de lenguaje segun modulo de comunicacion del ASQ) en municipios intervenidos.
Niños menores de 4 años rezagados en el desarrollo cognitivo (test cognitivo y de lenguaje segun modulo de comunicacion del ASQ) en municipios intervenidos.
Niñas menores de 4 años con desnutrición crónica en municipios intervenidos.
Porcentaje de niños/as con desnutrición crónica (en municipios intervenidos)","%
%
%
%
%
%
%
%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"21","BO-L1067",2008,"Strengthening of Integrated Health Networks in the Department of Potosi","BO-L1067 - Strengthening of Integrated Health Networks in the Department of Potosi","+Mortalidad materno infantil en el Departamento de Potosi reducida","Tasa de mortalidad infantil por 1000 NV
Tasa de Mortalidad neonatal
Razon de Mortalidad materna en el Departamento de Potosi","por 1000 NV
por 1000 NV
Razon",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"22","BO-L1070",2012,NA,"BO-L1070 - NA","+Calidad y cobertura de registros de actuales y futuros beneficiarios de programas sociales mejorado, con el propósito final de mejorar la focalizacion de programas sociales","Población pobre entre los beneficiarios de los programamas sociales del PEEP
Población pobre entre los beneficiarios de los programas sociales del PEEP
Población pobre entre los beneficiarios del censo muestral","%
%
%",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"23","BO-L1078",2011,"Improved access to health services in Bolivia","BO-L1078 - Improved access to health services in Bolivia","+Reducción de la mortalidad materno - infantil en las redes de atención en salud en los Departamentos de La Paz y Potosí","Mortalidad Neonatal temprana por cada 1,000 Nacidos Vivos en el Departamento de La Paz
Mortalidad Infantil por cada 1,000 Nacidos Vivos en el Departamento de La Paz
Mortalidad Infanti por cada 1,000 Nacidos Vivos en el Departamento de Potosí
Mortalidad Neonatal temprana por cada 1,000 Nacidos Vivos en el Departamento de Potosí","Tasa por 1,000 NV
Tasa por 1,000 NV
Tasa por 1,000 NV
Tasa por 1,000 NV",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"24","BO-L1082",2013,"Improved Access to Health Services El Alto Bolivia","BO-L1082 - Improved Access to Health Services El Alto Bolivia","+Reducción de la mortalidad: i) neonatal; ii) materna; y ii) por cáncer cervico-uterino en El Alto","1.3Mortalidad por CaCU (Cáncer Cérvico - Uterino) por 100.000 mujeres entre 30 y 49 años de edad en el departamento de La Paz
1.1 Mortalidad neonatal precoz hospitalaria por 1.000 NV* (<7 días) en el municipio El Alto
1.2 Mortalidad materna hospitalaria por 100.000 NV en el municipio El Alto","0/000
0/00
0/000",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"25","BO-L1198",2011,"Program to improve accessibility to maternal and Neonatal health services in Bolivia","BO-L1198 - Program to improve accessibility to maternal and Neonatal health services in Bolivia","+Morbi-mortalidad materna y neonatal reducida","1. Razón de mortalidad materna en el país
2. Tasa de mortalidad neonatal en el país","Razón
tasa",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"26","BO-L1216",2020,NA,"BO-L1216 - NA","+Contribuir a asegurar niveles mínimos de calidad de vida de las personas vulnerables frente a la crisis causada por el COVID-19.","Nivel de ingreso de familias vulnerables (tres quintiles más bajos) respecto a nivel de ingreso de familias no vulnerables (dos quintiles más altos) 12 meses después de inicio de la crisis.
Casos COVID-19 confirmados.
Cobertura de Renta Dignidad entre las personas indígenas mayores de 60 años que no reciben pensión contributiva.
Nivel de ingreso de familias vulnerables (tres quintiles más bajos) respecto a nivel de ingreso de familias no vulnerables (dos quintiles más altos) 12 meses después de inicio de la crisis.
Cobertura de Renta Dignidad entre las personas indígenas mayores de 60 años que no reciben pensión contributiva.","%
#
%
%
%",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"27","BO-L1219",2021,NA,"BO-L1219 - NA","+Contribuir a asegurar niveles mínimos de calidad de vida de las personas vulnerables frente a la crisis causada por la COVID-19, reducir la morbi-mortalidad causadas por la COVID-19 y a mitigar los efectos indirectos de la pandemia sobre la salud","Nivel de ingreso de familias vulnerables (tres quintiles más bajos) respecto a nivel de ingreso de familias no vulnerables (dos quintiles más altos) 24 meses después de inicio de la crisis.
Nuevos casos anuales de COVID-19 en áreas de intervención (municipio de El Alto y departamentos de Pando, Beni y Potosí).","Porcentaje (%)
Número de casos (#)",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
"28","BR-L1044",2010,"Health Modernization and Humanization Program","BR-L1044 - Health Modernization and Humanization Program","+Melhora das condições de saúde da população de São Bernardo do Campo.","Taxa de mortalidade infantil
Taxa anual de internação hospitalar por diabetes mellitus e suas complicações na população de 30 anos a 59 anos de idade residentes em SBC.
Taxa anual de internação hospitalar por acidente vascular cerebral na população com de 30 anos a 59 anos de idade residente em SBC.
Nascidos vivos de mães residentes em São Bernardo do Campo com 07 ou mais consultas pré-natais.
Taxa anual de internação hospitalar por diabetes mellitus e suas complicações na população de 30 anos ou mais de idade residentes em São Bernardo do Campo.
Taxa anual de internação hospitalar por acidente vascular cerebral na população com 40 anos ou mais de idade residente em São Bernardo do Campo.","Óbitos menores de 1 ano de idade/ 1.000 nascidos vivos
Internações/ 10.000 hab
Internações/ 10.000 hab
%
%
%",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29","BR-L1053",2010,NA,"BR-L1053 - NA","+Condiciones de vida de niños, adolescentes y jóvenes beneficiarios del Estado de Ceara mejoradas","Niños menores de cinco años con desnutrición crónica.
Niños con desarrollo motor adecuado para la edad
Niños con desarrollo social adecuado para la edad
Niños con desarrollo lenguaje adecuado para la edad
Reincidencia de jovenes beneficiarios en conflictos con la ley en los ultimos 20 anos","%
%
%
%
%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"30","BR-L1122",2006,NA,"BR-L1122 - NA","+Comportamientos de riesgo de la poblacion entre 15 y 29 años de edad en la ciudad de Fortaleza reducidos.
+Comportamientos de riesgo de la poblacion entre 15 y 29
 años de edad en la ciudad de Fortaleza reducidos.","Embarazos no planificados (entre jóvenes entre 15 y 29 años de edad)
Desempleo (entre jóvenes entre 15 y 29 años de edad)
Deserción escolar (entre jóvenes entre 15 y 24 años de edad)
Participacion comunitaria (entre jovenes entre 15 y 24 anos de edad)
Embarazos no planificados (entre jóvenes entre 15 y 29 años de edad)
Participacion comunitaria (entre jovenes entre 15 y 24 anos de edad)
Desempleo (entre jóvenes entre 15 y 29 años de edad)
Deserción escolar (entre jóvenes entre 15 y 24 años de edad)","%
%
%
%
%
%
%
%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"31","BR-L1177",2009,"Expansion and Strengthening of Specialized Health Services in Ceará","BR-L1177 - Expansion and Strengthening of Specialized Health Services in Ceará","+Condiciones de salud de la poblacion de Ceará mejoradas, mediante la expansion del acceso y la mejora de la calidad de los servicios especializados de salud.","Tasa de Razao de mortalidade materna en Ceará
Coeficiente de Mortalidad Infantil Neonatal en la Macrorregion Sobral
Porcentaje de casos de Cancer de Mama detectados en estadios III y IV en Estado de Ceará.","P/100.000
P/100.000
%",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
"32","BR-L1287",2013,NA,"BR-L1287 - NA","+Condições de vida dos jovens que vivem em favelas com Unidades de Polícia Pacificadora (UPP's) melhoradas.","Diferença entre a incidencia de gravidez em jovens de favelas atendidas pelo Programa e em jovenes de favelas não atendidas pelo programa.
Diferença entre a taxa de inatividade dos jovens atendidos pelo programa e dos jovens de favelas não atendidas pelo programa.
Diferença entre a escala de autoeficiencia percebida dos jovens de favelas atendidas pelo programa e dos jovens de favelas não atendidas pelo programa
Porcentagem de entrevistados nas areas de intervenção do programa que informam estar satisfeitos com o comportamento e participação dos jovens na comunidade.","%
%
%
%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"33","BR-L1372",2016,NA,"BR-L1372 - NA","+Condicao de vida das familias mediante acoes do Governo melhoradas","Famílias com 24 meses ou mais no programa com acesso e uso de serviços em educação, saúde e documentação civil básica, melhorados
Familias com indice melhorado de habilitação psicosocial
Famílias no programa com 24 meses ou mais de acompanhamento, que estão desenvolvendo iniciativas de habilitação social por conta própria
Familias com acesso e uso dos servicos em educacao, saude e desenvolvimento social produtivo melhorados
Familias abordadas pelo programa ao concluir 24 meses de acompanhamento, que deram continuidade a sua propria habilitacao social","%
%
%
%
%",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"34","BR-L1376",2014,"Strengthening health management in the State of São Paulo","BR-L1376 - Strengthening health management in the State of São Paulo","+Condições de Saúde da População do Estado de São Paulo melhoradas","Mortalidade por enfermidades crônicas não transmissiveis por 100.000 habitantes
Mortes prematuras por acidentes cardiovasculalres
Mortes prematuras por diabetes mellitus
Taxa de internações sensíveis à atenção básica
Mortalidade por enfermidades crônicas não transmissiveis por 100.000 habitantes","percentual
percentual
percentual
percentual
por 100.000 hab",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"35","BR-L1378",2012,"Strengthening Social Inclusion and Health Services Networks PROREDES","BR-L1378 - Strengthening Social Inclusion and Health Services Networks PROREDES","+Condições de Saúde da População do Estado de Sergipe melhoradas","Mortes prematuras por acidentes cerebro vasculares (30-69 anos)
Taxa de internações por hospitalizações sensíveis à atenção básica
Razão de mortalidade materna por causas obstétricas diretas
Mortes prematuras por Diabetes Mellitus (30-69 anos)
Mortalidade por câncer cérvico uterino","mortes
hospitalizações
mortes maternas
mortes
mortes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"36","BR-L1389",2015,"Strengthening the Unified Health System in Salvador","BR-L1389 - Strengthening the Unified Health System in Salvador","+Condições de Saúde da População do Estado da Bahia melhoradas","Taxa de mortalidade prematura por Diabetes Mellitus
Proporção de hospitalizações por condições sensíveis a atenção básica
Taxa de mortalidade prematura por Diabetes Mellitus","100.00 habitantes
percentual
percentual",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"37","BR-L1406",2010,NA,"BR-L1406 - NA","+Redução de iniquidade e melhora de serviços públicos, mediante o apoio para o alcance de metas de cobertura escolar.
+Condição de vida dos adolescentes e jovens beneficiarios da assistencia social melhoradas","Índice de Vulnerabilidad Social (IVS) de Ceará
Índice de Vulnerabilidad Social (IVS) de Ceará","Percentage
percentual",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"38","BR-L1408",2014,"Program for the Expansion and Improvement of Specialized Health Care in the State of Ceará II – PROEXMAES II","BR-L1408 - Program for the Expansion and Improvement of Specialized Health Care in the State of Ceará II – PROEXMAES II","+Contribuir para a melhoria das condições de saúde da população do Ceará.","1.2 Taxa de mortalidade prematura por Acidente Vascular Cerebral (AVC).
1.3 Porcentagem de nascidos vivos com baixo peso ao nascer <2.500 g.
1.1 Taxa de mortalidade prematura por Diabetes Mellitus (DM)
1.1 Taxa de mortalidade prematura por Diabetes Mellitus (DM)","por 100.000 habitantes
%
por 100.00 habitantes
por 100.000 habitantes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"39","BR-L1414",2017,"Program for Strengthening Social Inclusion and Healthcare Networks – PROREDES Fortaleza","BR-L1414 - Program for Strengthening Social Inclusion and Healthcare Networks – PROREDES Fortaleza","+Contribuir a mejorar las condiciones de salud de la población general y reducir las conductas de riesgo de jóvenes vulnerables del Municipio de Fortaleza (MF).
+Comportamientos de riesgo de la poblacion entre 15 y 29 años de edad en la ciudad de Fortaleza reducidos.","Proporción de hospitalizaciones por causas seleccionadas sensibles a la Atención Básica (AB).
Tasa de mortalidad precoz (30-69 años) por diabetes mellitus y sus complicaciones.
% de jóvenes que han participado en programas de la CEPPJ en el último año y que tienen menos de 2 conductas de riesgo.
Tasa de mortalidad precoz (30-59 años) por diabetes mellitus y sus complicaciones.
Porcentaje de jóvenes de 16 a 29 años certificados en los cursos professionales realizados por la Política de Juventud que logran un trabajo en un período de 1 año después de su conclusión
Tasa de mortalidad precoz (30-69 años) por accidente cerebrovascular.
Tasa de empleo de los jóvenes entre 25 y 29 años que culminaron un curso profesional en la RED CUCA un año después de concluido el curso.
Tasa de mortalidad precoz (30-59 años) por diabetes mellitus y sus complicaciones.
Porcentaje de jóvenes de 16 y 17 años que siguen matriculados en la escuela un año después de haberse inscrito en el CUCA.
Tasa de mortalidad precoz (30-59 años) por accidente cerebrovascular.
Proporción de hospitalizaciones por causas seleccionadas sensibles a la Atención Básica (AB).
Porcentaje de jóvenes de 16 y 17 años que siguen matriculados en la escuela un año después de haberse inscrito en el CUCA.
Tasa de mortalidad precoz (30-59 años) por accidente cerebrovascular.
Porcentaje de jóvenes de 15 a 29 años certificados en los cursos professionales realizados por la Política de Juventud que logran un trabajo en un período de 1 año después de su conclusión
Tasa de mortalidad precoz (30-59 años) por diabetes mellitus y sus complicaciones.
Porcentaje de jóvenes beneficiados con crédito que siguen en actividades comerciales después de 1 año de recibir el crédito
Tasa de empleo de los jóvenes entre 25 y 29 años que culminaron un curso profesional en la RED CUCA un año después de concluido el curso.
Proporción de hospitalizaciones por causas seleccionadas sensibles a la Atención Básica (AB).
% de jóvenes que han participado en programas de la CEPPJ en el último año y que tienen menos de 2 conductas de riesgo.
Tasa de mortalidad precoz (30-59 años) por accidente cerebrovascular.","%
por 100.000 hab
%
%
%
por 10.000 hab
%
por 100.000 hab
%
por 10.000 hab
%
%
%
%
por 100.000 hab
%
%
%
%
por 100.000 hab",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"40","BR-L1415",2015,"Strengthening Unified Health System in São Bernardo do Campo","BR-L1415 - Strengthening Unified Health System in São Bernardo do Campo","+Condições de Saúde da população de SBC melhoradas","Taxa de mortalidade precoce (30-59 anos) diabetes mellitus e suas complicações na população residente em SBC.
Taxa de mortalidade precoce (30-59 anos) por doença cerebrovascular na população residente em SBC.
Proporção de internações por causas selecionadas sensíveis à Atenção Básica
Taxa de mortalidade neonatal institucional (Hospital da Mulher)
Taxa de mortalidade precoce (30-59 años) por diabetes mellitus e suas complicações
Proporção de hospitalizações por causas selecionadas sensiveis a Atenção Básica (AB)
Taxa de mortalidade precoce (30-59 años) por acidente cerebrovascular
Taxa de mortalidade neonatal institucional (HMU)","obitos
obitos
numero de hospitalizações
obitos
obitos
numero de hospitalizações
obitos
obitos",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"41","BR-L1429",2016,"CITY OF SÃO PAULO HEALTH CARE NETWORKS RESTRUCTURING AND QUALITY CERTIFICATION PROJECT – AVANÇA SAÚDE SP","BR-L1429 - CITY OF SÃO PAULO HEALTH CARE NETWORKS RESTRUCTURING AND QUALITY CERTIFICATION PROJECT – AVANÇA SAÚDE SP","+Tasas mejoradas","Tasa de mortalidad prematura por doencas coronariana - MUJERES
Tasa de internaciones por condiciones sensibles a la atención básica - MUJERES
Tasa de mortalidad prematura por accidentes cerebro vasculares (ACV) - HOMBRES
Tasa de mortalidad prematura por doencas coronariana - HOMBRES
Tasa de mortalidad prematura por accidentes cerebro vasculares (ACV) - MUJERES
Tasa de internaciones por condiciones sensibles a la atención básica - HOMBRES
Tasa de mortalidad prematura por Diabetes Mellitus (DM) - HOMBRES
Tasa de mortalidad prematura por Diabetes Mellitus (DM) - MUJERES","/100000 Hab
/10000 habitantes
/100000 habitantes
/100000 Hab
/100000 habitantes
/10000 habitantes
/100000 habitantes
/100000 habitantes",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
